,BTC,ETH,XRP,BCH,XLM,EOS,LTC,ADA,XMR,TRX,MIOTA,DASH,BNB,NEO,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0869384245136793,0.034549367928748,0.00884802270534323,0,0,0,0,0,0.0194956023940884,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0.180044752574602,0.0694511339489346,0,0,0,0,0,0.0701764778759453,0,0,0,0,0,0,0,0,0,0
XRP,0,0.281537855145445,0,0,0,0,0,0.135660978781496,0,0,0.38572808932261,0,0,0,0,0,0,0,0,0
BCH,0,0.421314366226186,0.0172491337702585,0,0,0,0,0.090691788749851,0,0.043531184046244,0.0840808601977391,0,0,0,0,0,0,0,0,0
XLM,0,0,0.152604017522592,0,0,0,0,0.527230076708499,0,0,0,0,0,0,0,0,0,0,0,-0.0302085457633212
EOS,0,0.0863014828125951,0.119758447829193,0.0980043842512346,0,0,0,0.169167197553251,0,0,0,0,0,0,0,0,0,0,0,-0.00382615835418125
LTC,0,0,0.0555713482330661,0.17771666717008,0,0,0,0.190114105073184,0,0,0.128204838660674,0,0,0,0,0,0,0,0,0
ADA,0,0,0.135358746952777,0,0.38959536674794,0,0,0,0,0.0440167651159889,0,0,0,0,0,0,0,0,0,0
XMR,0,0.213961099087421,0.103090286002458,0.0141456395843084,0,0,0,0.0181161361448733,0,0,0.047117324804653,0,0,0,0,0,0,0,0,0
TRX,0,0.359362087916748,0.0127479771695687,0,0,0,0,0.291197225846734,0,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0.109105291199726,0,0,0,0.070210712297265,0,0.173937918083044,0.13138682464283,0,0,0,0,0.170076424497207,0,0,0,0,0
DASH,0,0.0846730477816466,0.083398941432043,0.0460347226383814,0,0,0,0.119737068524663,0,0,0,0,0,0,0.0335599983135201,0,0,0,0,0
BNB,0,0.112594892683503,0.0149606889107707,0.0225720906206199,0,0,0,0.00600835930233615,0,0.128801403375209,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.129263261569724,0.116575903110801,0,0,0.230767041306112,0,0,0,0,0,0,0,0,0,0,0,-0.035552074604872
XEM,0,0.121217200962091,0.0385713438627449,0.104574014562509,0.00610562862657207,0,0,0,0,0.167315496961593,0.145731579138645,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0208523600985348,0,0,0,0,-0.0364919825841162
CVIX.INDEX,0,0,0.00000106025656970253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445897365943198
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0863367727594408
VIX.INDEX,0,0,-0.00000245375261779561,0.00000143514342370814,0,0,0,0,0,0,0,0,0,0,0.0000000827377832702773,0,0.230077570871554,0,-3.87009660801637,0
