,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,TRX,MIOTA,NEO,DASH,XMR,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0594698683259037,0,0,0,0.0724086334164683,0,0,0.0154887175384391,0,0,0.180546303910831,0,0,0,0,0,0
ETH,0,0,0.230316640748881,0.121155953490317,0,0,0,0.0632742243977351,0,0.115979638755726,0,0,0,0.0560362778405908,0,0,0,0,0,0
XRP,0,0,0,0,0.0584084418809962,0,0.0518483652618199,0.0889738182620258,0,0.07681398943856,0,0,0,0.276539242973546,0,0,0,0,0,0
BCH,0,0,0,0,0.00580628536366622,0,0.0337915190084333,0.0629200590988873,0,0.22623140657529,0,0.181040984577866,0,0,0.0921080494354169,0,0,0,0,0
EOS,0,0,0.229850696667641,0,0,0,0.0482028297321016,0.0704444888667837,0.178708668539634,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0.129213562452935,0.205121457380705,0.0229767597082474,0,0,0,0,0,0.000401695408081473,0,0,0.179068372459494,0,0,0,0,0,0
XLM,0,0,0,0,0.108559384963747,0,0,0.242552491382079,0,0,0,0,0,0.277725260912919,0,0,0,0,0,0
ADA,0,0,0.192774930276001,0.0316786930835184,0.0680695836718366,0,0.256229269455191,0,0,0,0,0,0,0.0793996424063847,0,0,0,0,0,0
TRX,0,0,0,0.0192451181904229,0.180672335157455,0,0.33635779015801,0,0,0,0,0,0,0.175258292646885,0,0,0,0,0,0
MIOTA,0,0,0,0.279274814023894,0,0,0,0.237412145917751,0,0,0,0,0,0.0960309349674978,0,0,0,0,0,0
NEO,0,0,0,0.0451182316564984,0.0593676472395325,0,0,0.0933091665737948,0,0.0262445158168788,0,0,0,0.317716334899109,0.0803617290799217,0,0,0,0,0
DASH,0,0,0,0.037580874374126,0,0,0.101301499133891,0,0.0415466511274036,0.273719714607791,0.0299006753362104,0,0.180905389784213,0.00000000000000000346944695195361,0,0,0,0,0,0
XMR,0,0,0,0,0.0126660196742797,0,0.12858092980923,0.0587317844001747,0,0,0,0.122190163802629,0,0.16027903629573,0.0210750751010805,0,0,0,0,0
XEM,0,0,0,0.00738632781051503,0,0,0.187204236105367,0.0957847018507038,0.0218634804429622,0.248779154037242,0.0159436259137243,0,0,0,0.0654983137819668,0,0,0,0,0
ETC,0,0,0,0.153120443382993,0.055693028320339,0,0.0969530804412532,0,0.035381590640087,0.0720750608879798,0,0.0442036499331813,0.0448911080127035,0.0647277226426257,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.00446754411549041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0236334811784957
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0.00727130243890448,0,-0.00122730393018843,0,-0.00127265649329621,0.0029060904267545,-0.00421897969388702,0,0,0,0,0,0.0497277456672986,0,0,-0.00796037579833161
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1008579876755
VIX.INDEX,0,0,0,0,-0.0531955593420265,0,-0.0124030276515947,0,0,0.00999804606616565,0.00801062585271789,0,0,0,0,0,0,0,-2.18195886253258,0
