,BTC,ETH,XRP,BCH,LTC,BNB,EOS,BSV,XLM,ADA,XMR,LEO,TRX,HT,DASH,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.00649491753060232,0,0.300563628866598,0,0,0,0.0207561635879097,0,0,0.324985771386977,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.226073403611377,0,0.155435787016814,0.0211271412150852,0,0,0.0696553311122222,0,0.189295889266124,0,0,0,0,0,0,0
XRP,0,0,0,0.0904531221365093,0,0,0.106328794740252,0,0,0.0466162031601522,0,0,0.145138163531299,0,0,0,0,0,0,0
BCH,0.194737735827297,0.0792012506585662,0,0,0.063928840471467,0,0.163091584683025,0,0,0,0.0642130048194572,0,0.1302891238218,0,0,0,0,0,0,0
LTC,0.0569374495244845,0.223423394473401,0,0.0135909248883892,0,0,0.108234297290945,0,0,0.237758581927186,0,0,0.0342087788769101,0,0,0,0,0,0,0.00943607720329355
BNB,0.0829030899858065,0,0,0,0.129418993117994,0,0,0.00583278765046098,0,0,0.122182895201881,0,0.138142080574954,0,0.0162670520357181,0,0,0,0,0
EOS,0,0.181545630164899,0,0,0.0944750737254852,0,0,0,0,0.151691990525887,0.00000000000000000346944695195361,0,0.209636735707441,0,0,0,0,0,0,0
BSV,0.0369364262782841,0,0,0.22223381781787,0,0,0.00965522686823823,0,0,0,0,0,0.355790366313742,0,0,0,0,0,0,0
XLM,0,0,0,0.054818949537497,0.0390773389120619,0,0,0,0,0.231903833342475,0.010761276430402,0,0.174233534939395,0,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0.361963860733792,0,0.0955065948118875,0,0,0,0.29102737768632,0,0,0,0,0,0,0
XMR,0.22841687574356,0,0,0.277904033027271,0,0,0.000000000000000000867361737988404,0,0,0,0,0,0,0,0,0,0,0,0,0
LEO,0,0,0,0,0,0,0.0928828242322584,0,0,0.0416177212701074,0.0999965818303301,0,0,0,0,0,0,0,0,-0.0755858089177671
TRX,0,0,0,0,0.0500810967990387,0,0.205937122579852,0.220395883098106,0,0.141884293987853,0.111968981653709,0,0,0,0,0,0,0,0,0
HT,0.112615407965198,0,0,0,0,0.242249998800099,0,0,0,0,-0.00000000000000000000042351647362715,0,0,0,0,0,0,0,0,0
DASH,0.178971950156754,0,0,0,0.0488425205822079,0,0.0712901077594087,0,0,0,0.0938470528876101,0,0.120251075603052,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.100893432132378,0,0,-0.14449999909006
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0.000000885771020970011,0,0,0,0,-0.00000477906007342571,0,0,0.0389542367890209,0,0,0,-0.00155826565298702
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0753290883601622
VIX.INDEX,0,0,0,0.00000137037211344925,0.00000841415725018706,0,0,0,0,0,0,-0.00000214335259247583,0,0,-0.000010266485494858,0,0,0,-4.13376860581632,0
