,BTC,ETH,BCH,XRP,LTC,DASH,XEM,XMR,MIOTA,NEO,ETC,ZEC,BAT,EOS,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0335188988625284,0,0.139062768876359,0,0.0828167792104975,0.0261863976879287,0,0,0.0483827711303677,0.0431900942142815,0,0,0,0,0,0
ETH,0,0,0,0,0.0321985261373613,0,0.0350533929922816,0,0.105118758362538,0,0.024378074838762,0,0.0374197918306233,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.161084173102666,0,0,0,0.220428518177414,0.0270658317207601,0,0,0.0821035833789742,0,0,0,0,0
XRP,0,0.325188100821386,0,0,0,0,0,0,0,0,0,0,0,0,0.160796558576103,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0.00166130586245327,0,0,0.489415706784244,0,0,0,0.00986771530970846,0,0,0,0,0
DASH,0,0,0.0157403483319364,0,0,0,0.0885901430748514,0,0.0632406476903583,0,0,0.13714049493889,0.0649762619533957,0,0,0,0,0,0,0
XEM,0,0,0.108109378650956,0,0,0.119045233114914,0,0,0.0735541321564046,0.0463451031489238,0,0,0.147275639735039,0,0.179539132963125,0,0,0,0,0
XMR,0,0,0,0.00450810653558145,0,0,0,0,0.00666856266619783,0,0,0.112769376209106,0,0.00660856123790737,0.253060199858379,0,0,0,0,0
MIOTA,0,0.00000000000000000346944695195361,0,0,0,0.331762157165483,0,0,0,0.088065072200305,0,0.0753002706741217,0.0405495361435202,0.059837701047076,0,0,0,0,0,0
NEO,0.156167515153661,0,0,0,0,0,0.335938486543023,0,0,0,0,0,0.100782350887861,0.23208480430046,0,0,0,0,0,-0.0417060377252845
ETC,0,0.0733080854633816,0,0,0.29885840276553,0,0,0.0133020032467582,0,0,0,0,0.0407127950950711,0.0491083092347557,0.0737790834253003,0,0,0,0,0
ZEC,0,0.218275849708018,0,0,0,0.0367106425180188,0,0,0.00742718197071487,0,0,0,0.100688678319888,0.0454600711523995,0.0943626171843671,0,0,0,0,0
BAT,0,0.267777075889182,0,0,0,0,0.16216699107231,0,0.0278839798885341,0.254520159494727,0.0708355883984966,0,0,0.050437337314354,0,0,0,0,0,0
EOS,0,0,0,0,0.0493488842746777,0,0.110797969772734,0.0106523582350862,0.0244032343508179,0.0309232518958271,0,0,0.0942971380130271,0,0.115900943318117,0,0,0,0,0
XLM,0,0,0,0.150394945601721,0,0,0.0706014217048634,0.263613818157525,0,0,0.257059658694366,0,0.0809282930693068,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00544602986223441
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132505511193776
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,-0.0000000380223876922915,-0.0000000157984609431559,0,0,0,0,0,0,0,0,0,0,-0.0397020620308167
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
