,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,DASH,TRX,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0,0.0108253001992066,0,0,0.244254997773615,0.339882565224327,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.151168972593931,0.050284464147796,0,0,0.140595443651455,0,0.0656063768600216,0.087101501500611,0,0.0157700978147846,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0.0709662024369572,0.111193169201086,0.0561977823331418,0.189259669584634,0.054462532419657,0,0,0,0.035000325349904,0,0,0,0,0
BCH,0,0,0,0,0.205752278586022,0,0,0,0,0.167885635636578,0.00673394036196931,0.0250663125472046,0.00967862208309277,0,0.0444391657598377,0,0,0,0,0
LTC,0,0,0,0.186049703535492,0,0.0162731862510393,0,0,0,0.173424338324814,0.137774164916997,0,0,0,0.0902488961781256,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0.0616895677878003,0,0.20872883196141,0,0.103678116218743,0.0395972776761056,0.183901118432412,0,0,0,0,0
ADA,0,0,0.169854015915743,0,0,0,0,0.305468257604692,0.104451682242844,0,0.0337602165457603,0,0,0.087982510604717,0,0,0,0,0,0
XLM,0,0,0.199069443382637,0,0,0,0.118742509339981,0,0.112571823646196,0,0.12653504957938,0,0,0.0426614000371569,0,0,0,0,0,0
NEO,0,0,0,0,0.045795555598435,0.0135334296716018,0,0.148400029896931,0,0.407182845194985,0,0,0,0,0.0372254784924193,0,0,0,0,0
MIOTA,0,0,0,0,0.128905809550254,0,0.11513957569122,0,0.0887522045831557,0,0.269759841766215,0.133997456355065,0.023207736964342,0,0,0,0,0,0,0
XMR,0.167228229749834,0,0,0,0,0,0,0,0.141304329806852,0.20885018363876,0,0.164506183085091,0,0,0,0,0,0,0,0
DASH,0,0,0.0244650275976731,0.0250100183612908,0,0.016152160255158,0.00411569696977852,0,0,0.310391427910545,0.142801689648526,0,0.0392054481857768,0,0,0,0,0,0,0
TRX,0,0,0,0.398815272683905,0,0.0188487554035431,0,0,0,0.0730572459778444,0.122697435091718,0.13885568754756,0,0.0584797916822707,0.033730481472,0,0,0,0,0
XEM,0,0,0.060694854814149,0,0,0,0.237435627498712,0.24080009375978,0.103848337439389,0,0,0,0.105538178602996,0,0,0,0,0,0,0
ETC,0,0,0,0,0,0.0849276238308804,0.120630656110479,0.177212288364929,0.238178757111421,0.11801035481296,0,0,0.0302523223574702,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,-0.0194559791801666,0,0,0,0,0,0,-0.0372314774544597
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.100862332480136
VIX.INDEX,0,0,0,0,0,-0.000114013759662646,0,0,0,0,0.0000422797569077314,0,0.0000304115652805109,0.0000312075524316737,0,0,0,0,-3.65631474285606,0
