,BTC,XRP,LTC,DOGE,XLM,DASH,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0832124427483978,0.0770741641289578,0.0361836654697947,0,0.0274716047947843,0,0,0,0,0,0,-0.00395242895892688
XRP,0,0,0.0596105244989682,0,0,0,0,0,0,0,0,0,0,0
LTC,0.285408510103846,0,0,0.0429688866637685,0,0,0,0.0302972750264413,0.0415483250185715,0,0,0,0,0.0258628738411777
DOGE,0.424008368725571,0,0.0195457145430178,0,0.233900123930947,0.0554980689738107,0.0268008315635626,0.0715380872016564,0,0,0,0,0,0
XLM,0,0.096689907046292,0,0.17299844566658,0,0.170700097800623,0,-0.0531879477925649,0,0,0,0,0,0
DASH,0,0.080982539013494,0,0.0389985519851377,0.201830570107487,0,0.100628317318694,0,0.0375587566211584,0,0,0,0,-0.0427214477189554
XMR,0.709514227567198,-0.082746247927071,0,0,0,0.0362973303294766,0,-0.24949317483955,0.072747137017501,0,-0.34652117083789,0,0,-0.0460981406007046
XEM,0,0,0.307699656565312,0.272500490267413,0,0,0,0,0,0,0,0,0,0.164971674124959
DGB,0,0,0.0376616963840863,0,0,0,0,0.067403985950647,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.00172753604862379,0,0,0.0223739445463526,0,0,0,0,0.131004732523013,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0.000000325147716075391,0,0,0,-0.000000381779496500924,0,0,0.12558256230583,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0676160962425293
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
