,BTC,XRP,LTC,DASH,DOGE,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0806352949821284,0.0902889591777401,0.0426528581749687,0,0,0,0.0857974591538168,0,0,0,0,0
XRP,0,0,0,0,0.242223473887671,0.230916584935463,-0.0646541920576248,0,-0.0357062586480283,0,0,0,0,-0.0636157990457159
LTC,0,0,0,0,0.0900488895489338,0,0,0,0,0,0,0,0,0.0801331500896415
DASH,0,0.111834932046494,0.0373206943659452,0,0.0379101461879277,0.019265348466605,0.155742885424837,0,0,0,0,0,0,0
DOGE,0,0,0.0838020173415287,0.254944896620079,0,0.213627569635724,0.0405056919939949,0,0,0,0,0,0,0
XLM,0,0.229991812907546,0,0,0.274122539240974,0,0,0.0420057538050615,0.0531333363031596,0,0,0,0,0
XMR,0,0,-0.00249035083725199,0.114944982474418,0,0,0,0,0.364198172497835,0,0,0,0,-0.0416478652989635
XEM,0,0,0,0,0.220612335414583,0,0,0,0,0,0,0,0,0
DGB,0,0,0.0375432420599782,0.0874897814068211,0.0120759867626612,0,0.058357498541793,0,0,0,0,0,0,0.0898009856361856
BV010082.INDEX,0,0,-0.00924877441117985,0,0,0,0,0,0,0,0,0,0,-0.0525633208399856
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0546492242833613
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0664445558972987
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
