,BTC,ETH,XRP,LTC,ETC,XMR,DASH,XEM,DOGE,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.0064058323150995,0.0720759594861534,0,0.00716513514387672,0,0,0.0463671343306065,-0.0207060653384412,-0.013511311230405,0,0,0,0,-0.00243566164504209
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,-0.0171333026375265,-0.0113973580729858,-0.046747646907856,0.0318330931230061,0,0.290033960164742,0,0,0,0,0,0.0179408638811815
LTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETC,0,0,0,0,0,-0.0264081591950504,0,0,0,0,-0.0739647844997664,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0971279245786473
DASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0,-0.00886802396472346,0.129334198660748,0,0,-0.0575515818163137,0,0,0,0,0,-0.112192092015848
DOGE,0,0,0,0,0,-0.0340733906842724,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0.503676518254751,0,0,0,0,0,0,0,0,0,0,0,0,0
DGB,0,0,0.186765298492689,0,0,-0.0707701995911133,-0.141616456477283,0.0944612877238138,-0.0403857486338505,0,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.0899849642183096,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0771333758206222
DXY.INDEX,0,0.000000296399513251046,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00881189445558279
SPX.INDEX,0,0,0,0,0,-0.000000380654352562328,0,0,0,0,0,0,0,0,0,-0.0603837510206222
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
