,BTC,ETH,BCH,XRP,DASH,BTG,LTC,MIOTA,XMR,ETC,ADA,NEO,XEM,EOS,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.112813073947462,0,-0.0979799801451965,0.0292040875613256,0.0960769183454492,0,0,0,0.0368828411228943,0,0,0.114469210846151,0,0,0,0,0,0
ETH,0,0,0,0.0449350345114096,0,0,0.0485261412247095,0.000000000000000000216840434497101,0.0967783058287339,0.00990333892231623,0.023014850133969,0.0591005143282409,0.0828055026872137,0.0766187283943288,0,0,0,0,0,0
BCH,0,0,0,0,0.179971915804528,0.0851766239858401,0,0,0,0,-0.0230867622660033,0.320839096025477,0,0,-0.0203886998507967,0,0,0,0,0
XRP,0,0,0,0,0,-0.0222591875497123,0,0.0662538715830339,0,0.0751165737330605,0.079822487545861,0,0,0,0.0435989056094669,0,0,0,0,0
DASH,-0.113914944270344,0.0182663565240008,0.00988112434047315,0,0,0.000345121834867802,0,0.0329960398672738,0.269390867785942,0,0,0,0,0.0123119304768302,0,0,0,0,0,0
BTG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.0639067363494903,0,-0.00101436960409524,0,0.0613742929890005,0,0.103611822959052,0.0525302370475984,0,0,0.0191833232513858,0,0,0,0,0,0
MIOTA,0,0,0,0,0.084319737525481,-0.0436436579854031,0,0,-0.00000000000000000173472347597681,0.201948653817184,0.26536617506172,0,0,0,0.0679445829342724,0,0,0,0,0.138607257279121
XMR,0,0,0,0,0.108510142803722,0,0,0.011847456325595,0,0.0476180688666847,0.127143253169176,0.0685980620199201,0,0,0.0279597838931019,0,0,0,0,0
ETC,0,0,0.14262764602988,0,0,0,0.0166473795091689,0.0906454491997861,0.00123724258349427,0,0.112735339310683,0,0,0,0.00731187179084359,0,0,0,0,0
ADA,0,0,-0.0538890631359064,0,0,0,0,0.3237249626269,0,0.155338489966841,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0,0.0453796284928961,0,0,0,0.0588329832397238,0.171896175273803,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0,0,0,0.112142295127532,0,0,0,0,0,0,0,0,0
EOS,0,0,0.0868054965967533,0,0,-0.0138562115145202,0.141805073695707,0.0933060210077033,0,0,0,0.153959425706096,0,0,-0.0228640610352729,0,0,0,0,0
XLM,0,0,0,0,0,-0.0115654226056717,0,0.306362578456443,0,0,0.173257113372301,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,-0.0101081303876904,0.0203752945351539,0,0.0238006976563075,0.0127566460893547,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000204146002787775,0,0,0,0,0,-0.0271508283667029
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
