,BTC,ETH,XRP,BCH,LTC,ADA,EOS,XLM,MIOTA,NEO,XEM,XMR,DASH,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.019332099094592,0,0,0,0.0306820026063685,0,0,0,0.239525292998545,0.331992600595498,0,0,0,0,0,0,0
ETH,0,0,0.0679668212137881,0.05128361984292,0.106213515413242,0,0,0,0.173468917058303,0.116132934715859,0,0,0.0460095799789907,0,0,0,0,0,0,0
XRP,0,0,0,0,0.0153331448345149,0.0323404383503113,0.0140389907480659,0.113688496792201,0.167889226412025,0.0679832781579121,0,0.0672021196684564,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.0576598960128158,0,0,0.0388954928995276,0.179313293193266,0,0,0,0.176415680650007,0.0163742867412397,0,0,0,0,0,0
LTC,0,0,0,0.228886000487907,0,0,0.0190965480239813,0,0.110172885060006,0,0,0.142969375414583,0.0167762424685935,0,0.0929073522121902,0,0,0,0,0
ADA,0,0,0.1542083429482,0,0,0,0.0338849210740471,0.299431216951553,0,0.101445528657593,0.0843387347693862,0.0417533863043719,0,0,0,0,0,0,0,0
EOS,0,0,0.0910656374360493,0,0,0,0,0,0,0.0353145875589553,0,0.163221873175107,0,0.0836643856939762,0.201405358014339,0,0,0,0,0
XLM,0,0,0.00644499148053049,0,0,0.0903860266773418,0,0,0.0678719975969107,0.117910187327598,0.0953510503553848,0.182346382855224,0,0,0,0,0,0,0,0
MIOTA,0,0,0.0217709691770011,0,0.0971604177794588,0.0250252355081496,0,0.0362967945579808,0,0.0417404854040095,0.0180107535259585,0.30844642495659,0.186119349359004,0.0325763005746382,0,0,0,0,0,0
NEO,0,0,0,0,0.0458926490638469,0.00390110110267644,0.0226594882163531,0.211877584697132,0.402251651171135,0,0,0.0456670041674605,0,0,0.0206784476442317,0,0,0,0,0
XEM,0,0,0,0,0,0.0704592981848884,0,0.296513042037028,0.0871553400685922,0.096960465929488,0,0,0,0.0779993003051264,0,0,0,0,0,0
XMR,0.0577397979683515,0,0,0,0,0,0,0.104983892563322,0.0354251155279321,0.0295885179064456,0,0,0.366266665453047,0,0,0,0,0,0,0
DASH,0,0,0,0.019796126736782,0,0,0.0315568036934309,0.0725054434689337,0.227581072829573,0,0,0.102473155255598,0,0.054681505833309,0,0,0,0,0,0
TRX,0,0,0,0.3443159790943,0,0,0,0,0.205715835329581,0,0.0342089650689497,0.11832192146279,0,0,0,0,0,0,0,0
ETC,0,0,0,0,0,0.0414176394395842,0.126176351848959,0.258395554837625,0.126388996088075,0.125265485295756,0,0,0,0.066760907697721,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0166212437340328,0,0,0,0,0,-0.0399512170766574
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0952334756591763
VIX.INDEX,0,0,0,0,0,0.0414110533078934,-0.081122638941389,0,-0.0920063253615967,0,-0.00000000000000000000000661744490042422,0.173709696346184,0,0.048141583754802,0,0,0,0,-0.53656732857073,0
