,BTC,ETH,XRP,LTC,ETC,XEM,DASH,MIOTA,XMR,ZEC,XLM,DOGE,DGB,BAT,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0314611943324694,0,0,0,0,0.0928594413617007,0,0,0,0,0,0.0399937269715565,0,0,0,0,0
ETH,0,0,-0.0586347129827543,0,0.0352774288332769,0,0,0,0,0.154386915568934,0,0,-0.0118314493035336,0,0.0379607823548684,0,0,0,0,0
XRP,0,0,0,0,-0.142577869709013,0,0,0,0,0,0.434855077115663,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0.0178262468782297,0,0,0.287624599612733,0,0.047526502978483,0,-0.0642586183552632,0,0.181448212509924,0,0,0,0,0
ETC,0,0.279954743759239,-0.0963024253247952,0,0,0,0,0,0,0,0,0,0,0,0.289815367805686,0,0,0,0,0
XEM,0.0750942907971737,0,0.165068975064647,0.162314539569235,0,0,0,0,0,0.088267552507619,0.0290655868860249,0.188638275801582,0,0,0,0,0,0,0,0
DASH,0,0,0,0.0152005536371252,0.0495261973768647,0,0,0,0.222003921598222,0.037348474359524,0,0,0,0,0.0966979242884894,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.0851307503419441,0,0,0.290914639597487,0,0,0,0.130195945376301,0,0,0,0,0,0,0,0,0
ZEC,0,0.267570589905369,0.0399747450693325,0,0,0,0,0,0,0,0.0125453901755636,0.0461313062275348,0,0,0,0,0,0,0,0
XLM,0,0,0.497591859493625,0,0,0,0,0,0.153394911158244,0,0,0,0.0475512906981193,0,0,0,0,0,0,0
DOGE,0,0.00797785636560777,0,0.24232734067855,0,0.153743480727629,0,0,0,0,0.090284407228296,0,0.0789089895826165,0,0.048505819898537,0,0,0,0,0
DGB,0,0,0,0,0,0,0,0,0,0,0.349982557177179,0.35814892468041,0,0.0722673810617585,0,0,0,0,0,0
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.238284875600963,0.457354117445202,0,0,0,0.0528468022161264,0.104036508821067,0,0,0.0108056787747432,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0.00143212170588944,0,0,0,0.0219521983930302,0,0,0,0,-0.0291999883625442
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0.00387608568210969,0,0,0,-0.000138245060109324,0,0,0,0,0,0,-0.00276336229397911,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0.00000985605941345288,0,0,0,0,0,0,-0.0159639527637578
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
