,BTC,XRP,ETH,BCH,ADA,TRX,XEM,LTC,XLM,MIOTA,DASH,EOS,NEO,XMR,BTG,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0947077830742816,0,-0.0276763169415762,0.0342409035970116,0.0724508195377035,0,0.0629168392906641,0.12013984732758,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0.172940939685341,0.0275981721210368,0.105842613335233,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.0245275407286889,0,0.0729833315291352,0,0.170152945264201,0.03240142088204,0,0,0.0312696950041674,0.0315774964580945,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.00728896327983254,0.00840844338456523,0,0,0.357746508145192,0.0838943303721933,0.0278330601681807,0,0.262447208210948,0,0,0,0,0
ADA,0,0.201112331345016,0,0,0,0,0.0439666700723473,0,0.477006616675205,0.0823053615973715,0,0,0,0,0,0,0,0,0,0
TRX,0.211140793738462,0,0.121072536192571,0,0.109431605514,0,0,0,0,0,0,0.114519717993405,0,0,0,0,0,0,0,0
XEM,0,0.108078330904926,0,0,0.0470398724698096,0,0,0.0504121750199659,0.262038962750499,0,0,0,0,0,0,0,0,0,0,0
LTC,0.204079155762565,0,0.38783761171869,0,0,0,0.235544994677683,0,0,0.0491469096938987,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0.343882143449534,0,0.00181307346579191,0,0,0.056285964772579,0,0.0879101152954314,0,0.145156872521789,0,0,0,0,0,0
MIOTA,0,0,0,0,0.113456877120869,0,0.137688413472175,0.146318339487618,0.118323093256028,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.128109247074238,0.0503669569231987,0.0837312509108668,0,0.115511588785283,0,0,0,0,0.000716675713783331,0.0754887707431203,0.00572178034705938,0,0,0,0,0
EOS,0,0,0,0,0,0.162316780926435,0.0220234907305935,0.0293512247048533,0.0220923256405485,0.184715453535217,0,0,0.25431381400807,0.0725345677551264,0.0234422396955801,0,0,0,0,0
NEO,0,0.0853443605178028,0,0.0438922957766621,0,0,0.0211432894365317,0,0.228800461589264,0,0,0.0354994365051805,0,0,0,0,0,0,0,0
XMR,0,0,0,0,0.00449203219344322,0.00222927347630555,0,0,0.14626030015377,0.066846250558083,0.179782176005167,0.0195161982214894,0.0799123473777071,0,0.0308677542294057,0,0,0,0,0
BTG,0,0,0,0.533202975135778,0.0155840024862404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.00744511915461375,0.00553304828537182,0,0,0.00977364245468619,0,0,0.00711162456415047,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,-0.00299279299565298,0,-0.000897595498015984,0,0.00275748507349444,0,0,0,0,0,0,0,0,0.000000000000000000000000413590306276514,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
