,BTC,ETH,XRP,BCH,ADA,LTC,XLM,NEO,EOS,XEM,MIOTA,DASH,XMR,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.136579180793663,0,0.0266496093495259,0.00845522034129828,0,0.0546616578275427,0.0197975764204966,0,0,0.0385387874832163,0.052404686338536,0.0692177705203954,0,0,0,0,0
ETH,0,0,0,0,0,0.149442307942517,0,0.0568445472901391,0.0685567693379441,0.154442402234433,0,0,0,0.0339213966519694,0.0560610486553217,0,0,0,0,0
XRP,0,0,0,0,0.0237926743413914,0,0.125569755963298,0,0.0269052714066764,0.0953156508297072,0,0,0,0.0922812828585593,0,0,0,0,0,0
BCH,0,0,0,0,0,0.0292978586537743,0,0,0.13939703104132,0,0.0398155531893468,0.451251749443148,0.0523392524336985,0,0,0,0,0,0,0
ADA,0,0,0.134895569816058,0,0,0,0.39748560022453,0,0.045090110006348,0.0587860628950146,0,0,0,0.00927438314247835,0,0,0,0,0,0
LTC,0.133307982905483,0,0,0.111056309165264,0,0,0,0,0.00399049078285935,0.0312374283036065,0.137709693512572,0,0,0,0.136768484519126,0,0,0,0,0
XLM,0,0,0.0751415786747335,0,0.269182807412717,0,0,0,0.0216916529113511,0.217402298473101,0,0,0,0,0.070477403432854,0,0,0,0,0
NEO,0,0,0,0,0.110324708419053,0,0.106552382499534,0,0.015997087169616,0.0886390670617856,0,0,0.230914559390926,0,0,0,0,0,0,0
EOS,0,0,0.0575735338498126,0.0389116922673925,0,0,0,0,0,0,0,0,0,0.135331068018977,0.0831136932998374,0,0,0,0,0
XEM,0,0,0.0690622319945226,0,0.118689288148522,0.109377061646068,0.299220600065408,0,0.0199522259322143,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0.00000000000000000346944695195361,0,0.177919788690303,0,0,0.0227667421404731,0.103077666524409,0,0,0,0,0.267638748849076,0,0,0,0,0
DASH,0,0,0,0.22578526630717,0,0.0137137135634792,0,0,0,0,0,0,0.102044235513709,0.0891369269096666,0.147927762476981,0,0,0,0,0
XMR,0,0,0,0.0489718556973776,0.00768742698904396,0,0.0349213805973642,0.156227127594585,0.0321871666626783,0.0240763555244072,0,0.280864797233097,0,0,0.1414112715408,0,0,0,0,0
TRX,0,0,0.100658575087785,0.217875900944071,0,0.139893573704451,0.19184330401302,0,0,0.173727053758125,0,0.0496955322243053,0,0,0,0,0,0,0,0
ETC,0,0,0.0136377845956772,0.168862708341723,0.0362187089848082,0,0,0,0,0,0,0.128038135907252,0.0162232361644484,0.063003004976405,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.0170770384596752,0,0,0,-0.00915821244420082,0,0,-0.00268520270176194,0,0,0.00301522435648154,0,0,0,0,0,-0.0463891745788457
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00387999581512055,0,0,0,-0.00106287063040772,0,0,-0.00076506040517803,0,0,0,0.0039050463080489,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0.000869971529780074,0,0,0,0,0,0,0,0,0.000579385179305749,0,0,0,0,0,-0.049553512435074
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
