,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,XMR,ETC,MIOTA,ADA,ZEC,XLM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0.160597623961567,0.0571959566695227,0,0.143800949848497,0.0700432257455565,0,0,0.014264187800064,0,0,0,0,0,0
ETH,0,0,0,0,0.137858619791027,0,0,0,0,0,0.0643025077611678,0,0,0.10102499741486,0,0,0,0,0,0
XRP,0,0,0,0,0.0149248690322339,0,0.108850050339852,0,0.307678721987875,0,0,0,0,0.129706752366743,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.146960984413899,0.0505551883167277,0,0.22416496344597,0,0,0.0103932368214582,0.102693617498109,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0.00692294731053916,0,0.631400462737855,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0.133590093973935,0,0,0,0.0685637402361579,0,0.184442786630407,0,0,0,0,0,0,0
XEM,0,0.151053736353295,0,0.0628310070463942,0.0420789645520183,0,0,0,0,0,0.101260422853444,0,0.00924573078938343,0.189255640041074,0,0,0,0,0,0
NEO,0,0,0,0.121456658584566,0,0,0.0941458465233235,0,0,0,0.123092784152655,0,0,0.228293149440247,0.248779947406766,0,0,0,0,-0.122856233830936
XMR,0,0,0.0438846480512694,0,0.00984520884661029,0,0,0,0,0,0,0,0.191268694953735,0.104806203580165,0.00873354984788695,0,0,0,0,0
ETC,0,0,0,0,0.326406526999005,0,0,0,0,0,0,0,0.017551120796441,0.0305120987998804,0.0220997654297459,0,0,0,0,0
MIOTA,0,0,0,0,0,0.283031903652686,0,0.200951767055758,0,0,0,0,0,0.0602428304184041,0.0930554324341835,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0,0,0,0,0.150204095328826,0.113140257139658,0,0.0583450100504568,0,0.022202644986226,0,0,0.199060970881751,0.195913896920287,0,0,0,0,0
XLM,0,0.0948627881738764,0.401486048177021,0.0145663906112452,0,0,0,0.0083756814030237,0.106746090820716,0.283676815060713,0.0936346381443771,0,0.119372353997283,0,0,0,0,0,0,0
EOS,0,0,0,0,0.104830882965625,0,0.0286313798010428,0.103726013257702,0,0,0.0403433196997975,0,0.0389517504731476,0.0599571916396201,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.0162209048218545,-0.00874757384486234,0,0,0,0,0,0,0,0,0,0,0.0131086612216427,0,0,0,0,-0.0321153628656096
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,-0.00544005026377984,0,0,0,0,-0.00745915768222125,0,0,-0.00107623138937542,0,0,0,0,0,0.0038298518392992,0,0,0,0,-0.00227899920939721
SPX.INDEX,0,0,0,0,0,0,0,0,-0.00000124407128626474,0,0,0,0,0,0,0,0,0,0,-0.0397028846958217
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
