,BTC,ETH,BCH,XRP,LTC,ADA,MIOTA,DASH,XEM,XMR,EOS,BTG,NEO,XLM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.120180372988807,0,0.0483750451689614,0.0367933339974779,0.0255409900957779,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.173923192865353,0.0077650881261104,0,0,0,0,0.0516607386170762,0,0.0593697983600576,0,0.0368901455483074,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0.304996042017452,0.0248555912214743,0,0.112244741252874,0.21608332911845,0.0335146656115129,0,0,0,0,0,0,0
XRP,0,0,0,0,0.0713990856855715,0.0869500211216119,0,0,0.0980798095694508,0,0.0243683062499666,0,0,0.000398465112458797,0,0,0,0,0,0
LTC,0.0664735707871927,0.0559677831758226,0,0,0,0.000000000000000000433680868994202,0.0490553383624501,0,0.219293199397272,0,0,0,0,0,0.12095344877895,0,0,0,0,0
ADA,0,0,0,0.11432610613912,0.00000000000000000173472347597681,0,0.025980819157882,0,0.0362077071975822,0,0,0,0,0.377261193792994,0.230066059403381,0,0,0,0,0
MIOTA,0,0,0,0,0,0.0401989004351029,0,0,0.175181418591907,0,0,0,0,0.33763844677381,0,0,0,0,0,0
DASH,0,0,0.0739859919673148,0,0.062068220927185,0.0710639681507346,0,0,0.0170132713533961,0.0851767041138065,0,0.0258485376867112,0.00748196674934685,0,0,0,0,0,0,0
XEM,0,0,0,0.0928988051371351,0,0.168868964111329,0.0740555650444845,0,0,0,0,0.00029521086270474,0,0,0,0,0,0,0,0
XMR,0,0,0,0,0,0,0.0469841231657611,0.178649458326121,0,0,0,0,0.0743341873539127,0.128802091530064,0.100582427332988,0,0,0,0,0
EOS,0,0.0167674809248889,0.110676979574071,0.0674876811258329,0.149801870036683,-0.000000000000000000216840434497101,0,0,0,0,0,0,0.138130075828062,0.299047942838091,0,0,0,0,0,0
BTG,0,0,0.536920404683028,0.0185313587378563,0,0.0149845380123644,0,0,0.000000000000000000433680868994202,0,0,0,0,0,0.0604672927641577,0,0,0,0,0
NEO,0,0,0,0,0,0.0169710640523811,0,0,0.03059221004229,0,0.0675716931528912,0,0,0.126814328061209,0.0318057709409841,0,0,0,0,0
XLM,0,0,0,0.0174847673334185,0,0.272112553745775,0.167876923664768,0,0,0.0945653068219849,0.0966881205540393,0,0,0,0,0,0,0,0,0
ETC,0,0,0.0437585618198558,0,0,0.104224136407406,0,0,0.0957352853155985,0,0,0.0158505850880765,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.00764044520105349,0,-0.0216316116129649,0,0,-0.000953119058188758,0,0.00945835773089637,-0.00530857614749057,0,0.0358658000137812,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,-0.0000000152335485199534,0,0,0,0,0,-0.00000000556777272992926,0,0,0,0,-0.00000000668425259082353,0,0,0,0,0,0,0,-0.0123792288456423
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
