,BTC,ETH,XRP,LTC,ETC,DASH,XEM,DOGE,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0210071006007075,0,0.460669592775745,0.00276043670253868,0,0.0341152928925522,0.0370323767430964,0.0943340492137935,0,0,0,0,0,0,0
ETH,0,0,0,0,-0.0848886660587124,0,0.090137275580395,0,0,0,0.364016300094303,0,-0.184744709339327,0,0,0.0294616849695342
XRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.540891937498565,0,0,0,0,0,0.00389679235255316,0,0,0,0,0,0,0,0,-0.00405847849157026
ETC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0.0989930596558953,0.0620614796860122,0,-0.0022866378081848,0,0,0,0,0.0978151461168228,0,0,0,0,0,-0.0548039395786175
XEM,0.490544891014986,0.0274847625198028,0,0,-0.0163988138253218,0,0,0,0,0.325791045575876,0,0,0,0,0,0
DOGE,0.379765475923023,0,0,0,-0.0105611418664412,0,0.0433390719797293,0,0,0,0,0,0,0,0,0.00692636058063528
XMR,0.689315347345393,0,0,0,-0.00986564336603881,0,-0.0128082202495496,0,0,-0.0832868363419257,0,0,0,0,0,-0.0663016669020871
XLM,0,0,0,0,0,0,0.19720621972573,0,0,0,0,0,0,0,0,0
DGB,0,0.184893122914588,0,0.225376210274872,0.0036691694254153,0,0.0704311764966699,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.0135532771761353,0,0,0,0,0,-0.0293951654642704,0,0,0,0,-0.0701487649052488
CVIX.INDEX,0,0,0,0,-0.0130945636341907,0,0.000000128795894768641,0,0,0,0,0,0,0,0,0.123570181866616
DXY.INDEX,0,0,0,0,-0.000000186213755876933,0,0.00000025630288359761,0,0,0,0,0,0.0311478417271116,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,-0.0000000405271140189575,0,0,0,0,-0.0441407378286765
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
