,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,DASH,XEM,TRX,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0,0,0.085910956674422,0,0.17253704182027,0.230557448747381,0,0.0631786903548769,0.0216644145684358,0,0,0,0,0
ETH,0,0,0.0311129956319892,0.0553140938466503,0.138739960564708,0,0,0,0.158197054603735,0,0.0771876930766598,0.111675709489138,0.0176978610322307,0,0.0156360263896876,0,0,0,0,0
XRP,0,0,0,0,0,0.00575682417667769,0.0945268944729407,0.117264806362291,0.108040831538414,0,0.0966477995777374,0,0.0368499285976773,0.0103541505184036,0,0,0,0,0,0
BCH,0,0,0,0,0.207222680919793,0,0,0,0.0297671421577212,0.114508004062341,0,0,0,0.02095534268552,0.0766501134010389,0,0,0,0,0
LTC,0,0.171596855861598,0,0.0950642301329886,0,0,0.0497858699951237,0,0,0.0943570393429584,0.0795668855341646,0,0,0.0991174488695041,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0.247633532462159,0.126165285700018,0,0,0.0502647689629535,0.0356450805879851,0.0849619170889763,0,0,0,0,0
ADA,0,0,0.20319681108101,0,0,0.0792744859822894,0,0.187060864245891,0,0,0.0293934953258046,0,0.0823994049866329,0.0878882614774779,0,0,0,0,0,0
XLM,0,0,0.183650524904125,0,0,0,0.234378785268729,0,0.171520418586965,0,0.00838027567181978,0,0.0513033052623055,0.0491100171421828,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0.0816111494707573,0,0.281838455784999,0.165371864761659,0,0,0,0.0158655386176382,0,0,0,0,0
MIOTA,0,0,0,0,0.159972032444849,0.0693468620283434,0.0597986272638002,0,0.0898519627642529,0,0.18448073120677,0.149789408210378,0,0.0979751223218316,0,0,0,0,0,0
XMR,0,0,0,0,0.199047800464681,0,0,0,0.309558412194093,0.154320627928297,0,0.011211347245854,0,0,0.0325170653808968,0,0,0,0,0
DASH,0,0,0,0.0403518972054863,0,0.0427412442325801,0.00501576752959133,0.00417854833598662,0,0.192358682761208,0.187015748537322,0,0,0.0565827865683819,0,0,0,0,0,0
XEM,0,0,0,0,0,-0.000000000000000000216840434497101,0.202904628798761,0,0.111368645347216,0,0,0,0,0.210807279043085,0,0,0,0,0,0
TRX,0,0,0,0.240772147750149,0,0.0689116338607517,0,0,0.211509087651665,0.151630659202353,0.049449694601759,0,0.106168666925539,0,-0.000000000000000000867361737988404,0,0,0,0,0.0701199287709577
BNB,0,0,0,0,0,0,0,0,0.393888439317796,0.0855433381479372,0.130223781381816,0,0.0446604647801238,0.0116152575270017,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.0575486701695125,0.0626911354571198,0,0,0,0,0,0,0,0,-0.0164791453317484,0,0,0,0,0,0,-0.0426743036205289
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369863873781867
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00343027821496467
SPX.INDEX,0,0,0,0,0,0,0,0,0.00000126504186234072,0,0,0,0,0,0,0,0,0,0,-0.0786415126223926
VIX.INDEX,0,0,0,-0.00562209015927788,0,-0.00406367810702426,0,0,0,0,0,0,0.00316408133583052,0.0126034884983061,0,0,0,0,-2.86839600820399,0
