,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,XMR,DASH,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.056593846946519,0.0201685470328823,0,0,0.0553559562019959,0.0162568458597743,0,0.00202628194012823,0,0,0.140920496260395,0,0,0,0,0,0
ETH,0,0,0.139373661198224,0.111264627498702,0.00570170118630371,0,0,0.11991909236812,0.0441916997187127,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.0516595609499623,0.0662728676131604,0,0,0.102626620592838,0,0,0,0,0,0.36578239594315,0,0,0,0,0,0
BCH,0,0,0.0775882969055393,0,0.00230636733206582,0,0.141721880721471,0.0739325574820342,0.174188187720755,0,0,0.127597582981086,0,0,0,0,0,0,0,0
EOS,0,0,0,0.103862738966578,0,0,0.243637737589904,0,0.0375394893481482,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0.131232093411443,0.200495264973897,0.0318523855180547,0,0,0.0253726053130146,0.00329021116190888,0,0,0,0,0.101799367991197,0,0,0,0,0,0
XLM,0,0,0,0,0.119710536454682,0,0,0.230261377684648,0.0386964162542654,0.0250480558628414,0,0,0,0.211206936632624,0,0,0,0,0,0
ADA,0,0,0.0166402360154955,0.0401972112825285,0.107160909690264,0,0.323102369832105,0,0.0397278057757037,0,0.0378544345463409,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0.302915490219255,0,0,0,0.266600583903973,0,0,0,0,0.045785026786871,0,0,0,0,0,0,0
TRX,0,0,0,0.0894844602924334,0.146884897255808,0,0.280351712580114,0.166533942144051,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.0964827666768503,0.0933009455615048,0,0.0680044533382364,0.0491104770297879,0.190147437881476,0,0,0,0,0.207036933048902,0,0,0,0,0,0
XMR,0,0,0,0.228277997008642,0.0343903343498013,0,0.0358676053285516,0,0.0140520955520584,0.0361603413810558,0,0,0,0.15904627518601,0,0,0,0,0,0
DASH,0,0,0,0.206898565270445,0.00000000000000000173472347597681,0,0.118278039701972,0,0.152318188802129,0,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0.0775236296070541,0.0163870886397905,0,0,0.204194780804742,0,0.222699172377993,0,0.0675623351634498,0.0970551200467192,0,0,0,0,0,0,0,0
BNB,0,0,0,0.065218627416154,0.0202625047269075,0,0,0.117608217552938,0.115636497389041,0,0,0,0.0230393994050781,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.0244921108335738,0,0,0,0,-0.00310092491712618,-0.00542375014633262,0,0,0,0,0,0,0,0,-0.125049351128292
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,-0.000000607901361892686,0,0,0,0,0,0,0,0,0,-0.0789985062156543
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
