,BTC,ETH,XRP,LTC,DASH,DOGE,XMR,XLM,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0216664699917907,0,0.190069728248016,0,0,0.00144296099331091,0.0213949268383089,0.00586936884636054,0,0,0,0,0,0
ETH,0,0,0,0,-0.339009052086835,0,0.239011259376267,-0.311260421325086,0,-0.0614560040779568,0,0,0,0,0.202211457919827
XRP,0,0,0,0,0,0.0956528213727516,0,0,0,0.0303117548094089,0,0,0,0,0
LTC,0.310758419605088,0,0,0,0,0.0144859316515895,0,0.0285077886279926,0.000952983752127508,0,0,0,0,0,0
DASH,0,-0.135132970775421,0,0,0,0,0.126240998175854,-0.380069835677202,0,0.0822764387120666,0,0,0,0,0.259759360628953
DOGE,0,0.0565293904124489,0,0,0,0,0,0.212246336727636,0,0,0,0,0,0,0
XMR,0.297460701210669,0.163514817763519,0,0,0.16239343209982,0,0,0.210099592863474,-0.0603593942645932,0,0,0.0841475919766417,0,0,-0.166315018871513
XLM,0,0,0,0,0,0.194531052323228,0.0470103484368684,0,0.158376646373056,0.0377605208870756,0,0,0,0,0.103710009120694
XEM,0,-0.112908410716842,0,0,0.158920849863576,0,0,0.346457326639076,0,0.142712660824826,0,0,0,0,-0.201508962099917
DGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,-0.0409971590920174,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0.00000634672290447845,-0.00000178772617016863,0,0,0,0,0,0.103973749440174
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,-0.000010941455208762,0,0,0,0,-0.112866297644069
VIX.INDEX,0,0.00806987613658078,0,0,0.0114723686418878,0.00631566174820747,0,0.0176596483276566,-0.00250832667161224,0.00103175542335087,0,0,0,-2.87649691979108,0
