,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XLM,XMR,TRX,ADA,ETC,XTZ,DASH,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.157989733152897,0.00293584267373592,0,0.118942250619332,0.0474141219775213,0,0,0.0517501694315195,0,0,0,0.00641672924546792,0,0,0,0,0
ETH,0,0,0,0.146786007715105,0.00312247310600396,0,0.21019293590606,0,0,0,0,0.111277524533625,0,0,0.0315354720410636,0,0,0,0,0
XRP,0,0,0,0.0524968202707551,0.0373461573901017,0,0.154096358843775,0,0,0,0.0619608553653602,0.0797398294888558,0,0,0.0125666978506578,0,0,0,0,0
BCH,0,0,0,0,0.253611582562353,0,0.118621339631244,0,0,0,0.045522008131847,0,0,0,0.0723523500038046,0,0,0,0,0
BSV,0,0,0,0.530647622962976,0,0,0.229887120055729,0,0,0,0,0,0.0386812157079608,0,0,0,0,0,0,0
LTC,0,0,0,0.208165967807784,0.0417112468012283,0,0.284138405284839,0,0,0,0,0,0,0,0.0406208162313485,0,0,0,0,0
EOS,0,0,0,0.119067807230129,0.0899625485928022,0.192629563940608,0,0,0,0,0.139954302223077,0,0,0,0.0227813976691531,0,0,0,0,0
BNB,0,0,0,0,0,0,0.233920640703999,0,0,0,0.127366287245731,0.011647589054993,0,0,0.0981501036188672,0,0,0,0,0
XLM,0,0,0,0.0220420470309771,0,0,0.196354920375599,0.140253995468173,0,0,0.0330515366398589,0,0,0,0.0409113532317208,0,0,0,0,0
XMR,0,0,0,0.144226240043922,-0.0217907067186368,0,0,0.326870894043271,0,0,0,0,0.0348725459539052,0,0.0927009155643647,0,0,0,0,-0.0404534132046257
TRX,0,0,0,0.101542338616724,0,0,0.32363042719467,0,0,0,0,0.0846808854288907,0.0350992074038191,0,0.021290579718784,0,0,0,0,0
ADA,0,0.0231944082775336,0,0,0.0468613805399373,0,0.083317921366899,0.158024864787886,0,0,0.245034800548026,0,0,0,0.0445837833176527,0,0,0,0,0
ETC,0,0,0,0.071241605893658,0.115774233298271,0,0,0,0,0,0.0647769992258787,0,0,0,0.318006814405004,0,0,0,0,0
XTZ,0,0,0.280139227333515,0,0.0039449949894456,0,0,0,0,0,0,0,0,0,0.0233977242904724,0,0,0,0,0
DASH,0,0,0,0,0.230454609116105,0.0769377286540654,0,0.312230144429623,0,0.0422338274891933,0.0343999146483459,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.00982779592983645,0,0,0,0,0,0,0,-0.0157439133176669,0,-0.00403434615432896,0,0,0,0,-0.0629048332154017
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0.00520080796601899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0246859504036125
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
