,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,TRX,ETC,DASH,NEO,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.207322968577055,0.00978820415785166,0,0,0,0.0651230248882576,0,0,0,0,-0.00000000000000000173472347597681,0,0,0,0,0,0
ETH,0,0,0,0.103096695025388,0.0305027701100736,0,0,0.0791569640824717,0,0.0504962441356554,0.023426734631929,0,0,0.193745273324516,0,0,0,0,0,0
XRP,0,0,0,0,0.0342406598548633,0,0,0,0,0.320699726837933,0,0,0,0.0527208671908531,0,0,0,0,0,0
BCH,0,0,0,0,0.0380672920672566,0,0,0.157215892052182,0.0376813283412894,0.12200509909925,0.149292479443308,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.13074378892407,0,0,0,0.0116481076266526,0,0,0.122115244759277,0,0,0.311627269115559,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.607036675559935,0,0,0,0,0,0.0370554074656095,0,0,0,0,0,0
LTC,0,0,0,0.468705923746917,0.0709089358820064,0,0,0,0,0.080003214468771,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0.118583205926504,0.110622748069343,0.0512531254246298,0,0,0,0,0.230408982755519,0,0,0.154711829297266,0,0,0,0,0,0
XMR,0,0,0,0.578089545655562,0,0,0,0.0446900163807538,0,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0.101086280843862,0,0,0,0,0,0,0,0.185876431949307,0.143235951355104,0,0.493747127349368,0.0882504717165843,0,0,0,0,0
TRX,0,0,0,0,0.187081338563689,0,0,0.139728326684525,0,0.238990000705395,0,0,0,0.105053439483717,0,0,0,0,0,0
ETC,0,0,0,0,0,0,0.0741238620971464,0.0182473142397941,0.139752177432038,0.308874586899266,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0.0889990593084952,0,0.0907639353540558,0.0786079715161404,0,0,0.210063337599364,0,0,0,0,0,0
NEO,0,0,0,0,0.264129812038306,0,0,0,0,0.455181480263732,0.0431336925833409,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0,0.0546633325719818,0,0,0.145459024241785,0,0.0972003306801551,0,0,0,0.0512485575277358,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0.00452861482738355,0,0,0,0,0,0,-0.0610177920010033
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000000332000445990512,0,0.0596902318891666,0,0,-0.0056760110695712
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0607974763180124
VIX.INDEX,0,0,0,0,0,-0.10820779517424,0,-0.0259150223440083,-0.0443937382296717,0,0,0,0,0,0.0110708400842471,0,0.628596797727974,0,-0.743749196517019,0
