,BTC,ETH,XRP,LTC,ETC,DASH,XEM,XMR,ZEC,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.21296198149058,0.0698318431491349,0,0.614032557285612,0,0,0.0506939111359218,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0,0.313323236133137,0,-0.115961325627095,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0,0.057094054119983,0.195469431136785,0,-0.0176106364936727,0,0,0,0,0
ETC,0,0.392210319087416,0,0.0445023534952993,0,0,0,0,0.0933955115872366,0,0,0,0,0,0,0,0,0
DASH,0,0,-0.0862131894052669,0.00986272845130245,-0.104889153774986,0,0,0,0.295792107438392,0,0,0.104342638366031,0.0154885865868051,0,0,0,0,0.0279806596879666
XEM,0,0,-0.0631257736410434,-0.0535829263366317,0,0,0,0,0.0499600394966549,-0.130191066972446,0,0,0.26583338637122,0,0,0,0,-0.148761618207359
XMR,0,0.361836859657092,0,0,0,0,0.0558114539014128,0,0.0318466666169259,0,-0.0315565091185356,0,0,0,0,0,0,0
ZEC,0,0,0.0214021435857613,0,0.157799677397386,0.0435599519043262,0.0883744205897896,0.261545651515854,0,0.0299624753114349,0,0.110185139502496,0,0,0,0,0,-0.0367836157895045
DOGE,0,0.0967030166386566,0.166892189963649,0.0904335082056104,0,0,0,0,0,0,0.0961082405425254,0,0,0,0,0,0,0
XLM,0,0.0218926565227419,0.34758991305945,0.104175578137054,0,0,0,0,0,0.0796995937334717,0,0,0.0591123837272656,0,0,0,0,0
NEO,0,0,0,-0.0319521462547582,0,0.131343836564777,0,0,0.129746029207571,0.0896938216545774,0,0,0,0,0,0,0,0
DGB,0,0,-0.179501720587491,0,0,0.155284639269868,0.306901259351078,0,-0.268540837668236,0.044229102358734,0.326044357541771,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0353095310619452
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0.0000000496748017387115,0,0,-0.0000000596357204622155,0,0,0,0,0,-0.0000000719570022946282,0,0,0,0,0,-0.021769859727034
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
