,BTC,ETH,BCH,XRP,LTC,DASH,MIOTA,NEO,XMR,XEM,ETC,EOS,ZEC,ADA,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.435556226354295,0,0,0.0756278459415842,0,0,0,0.0399126489606421,0,0,0.0093803319519075,0,0,0,0,0
ETH,0,0,0,0,0,0,0.0579673923947053,0.0585463804272027,0.0496639877787512,0.0704351126514807,0.0764771018745686,0.0749414908082023,0,0,0.00270742029360247,0,0,0,0,0
BCH,0,0,0,0,0,0.215332952641337,0,0.0786080638098957,0,0.106103869339587,0.19560978398314,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0.0895946557247835,0,0.0592264115802291,0.0627180854885173,0,0.0291731417077522,0.00623438497551973,0.0132707701507646,0,0,0.063517816461167,0,0,0,0,0
LTC,0.103976264010106,0,0,0.049428293299255,0,0,0.0264129255667478,0.101137628517854,0,0.12009180707837,0.120257412318696,0.00241930088522702,0.0210031967840927,0,0,0,0,0,0,0
DASH,0,0,0,0,0.0568571614381665,0,0.15138214784321,0,0,0.076259990236037,0,0,0.0662153307745192,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0.195674313839113,0.0793302887996256,0.0518058767917099,0.0945163767804633,0.022793169004811,0,0,0.0439621445912388,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0,0.0919879109072928,0.0491378921967732,0.042002586880873,0,0.00144652689602754,0.184463915274729,0,0,0,0,0
XMR,0,0,0,0,0.0797000963505414,0,0,0.103303121157347,0,0.0152159562645215,0,0,0.116493996025195,0,0.0115937142333995,0,0,0,0,0
XEM,0,0,0,0,0,0,0.0905954961003995,0.198022200509741,0.187082049879089,0,0,0,0,0,0.0346521854473525,0,0,0,0,0
ETC,0,0.115093058073527,0.134411206506767,0,0.166110109204109,0,0,0.0316105354289807,0,0.00456714846007655,0,0.000130113620663662,0,0,0.00284443907842046,0,0,0,0,0
EOS,0,0,0,0,0,0,0.174359554397246,0,0,0,0.259279215727135,0,0.137236675877502,0,0,0,0,0,0,0
ZEC,0,0,0,0,0.00247561334889121,0.185228790072911,0.212943665618901,0.0466410085194917,0,0,0.0296504896744834,0.014728327975248,0,0,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0.137668994683617,0.309318139038753,0,0.37609112165635,0,0,0,-0.00129008042558141,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,-0.0264698067905904,0,0.0317754633168062,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,-0.000182551603786814,0,-0.000348191077316896,0,0,-0.000448716475265283,0,0,0,0,0,0,-0.0240937072545246
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
