,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,XMR,DASH,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0183125648393146,0.0250419549574569,0,0,0.114228495554932,0.0205568170573076,0.0423549454639422,0,0.00886707097646591,0,0.166380538272331,0,0,0,0,0,0,0
ETH,0,0,0.0585603228719334,0.135621088536644,0,0,0.0467904152429526,0,0.0373804832970354,0,0,0,0.0602903035888964,0,0,0,0,0,0,0
XRP,0,0,0,0.020213531999665,0,0,0.0959382626332467,0.170884012783248,0.150756034620848,0,0.0725510382827948,0.0292662842464627,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0.156673199817442,0,0,0.116967980790417,0.291079928271091,0,0.0973237265673198,0,0,0,0,0
EOS,0,0,0.128820704719442,0,0,0,0.286915569520917,0,0,0.241886681493608,0,0,0,0,0,0,0,0,0,-0.0233401458747241
LTC,0,0,0,0.104452300691212,0.0328588966926102,0,0,0,0.12493599028623,0,0.0254587032818008,0,0.137016615561516,0,0.0553608450201579,0,0,0,0,0
ADA,0,0,0.213825390518036,0,0.0608804259214172,0,0,0.206538666326753,0.0106027009594101,0,0.029125219204098,0,0,0.172589556356419,0,0,0,0,0,0
XLM,0,0,0,0,0.0287484788242542,0,0.376915121805382,0,0,0.0284702909975615,0.113600397263648,0,0,0.00817549294629035,0,0,0,0,0,0
MIOTA,0,0,0.0452498048766793,0.115290954154608,0,0,0.22033756348372,0.000000000000000000867361737988404,0,0.000000000000000000433680868994202,0,0.200875216874911,0.165957882993729,0.0203612651996845,0,0,0,0,0,0
TRX,0,0,0,0.145934278608929,0,0,0,0.37445403362288,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.0663323894055997,0,0,0.0934838516879364,0.201279116509116,0.120726374128339,0.0229055582863667,0,0,0.201996195673352,0,0.0933861254731038,0,0,0,0,0
XMR,0,0,0,0.080216363255912,0,0,0,0.120182359329393,0.0355095796461503,0,0.0209557827143939,0,0.312438656873536,0,0,0,0,0,0,0
DASH,0,0,0,0.201185407043545,0.0207444720185819,0,0.00000000000000000346944695195361,0.0588653040309776,0.152903697317713,0.0467485849129056,0,0,0,0,0,0,0,0,0,0
XEM,0,0.0375441739887206,0,0,0,0,0.0551339924057559,0.229098219729865,0.218830174749572,0.0165849778502574,0.0124273558846264,0,0,0,0.0724919400009639,0,0,0,0,0
ETC,0,0,0,0.087829056064279,0,0,0.056656037965313,0.120694962726534,0.0166609413699946,0.0678665487920296,0.14983173310281,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.0169181284963808,0,0,0,0,-0.0328520362216442,-0.0134313675740577,0,0.0575985636334128,-0.0162945031225637,0,0,0,0,0,-0.0542059415925956
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0.0000000916715798376613,0,0,0,0,0,0,0,0,0,0,0,-0.100857456526108
VIX.INDEX,0,0,0,0,-0.0000181677531519434,0,0,-0.00000543159017190831,0,-0.0000080364338230554,0.0000195217133134758,0,0,0,0,0,0,0,-3.71135631923431,0
