,BTC,ETH,XRP,ETC,LTC,DASH,XEM,DOGE,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.00456326535166201,0,0,0.34149721134064,0,0.0698338327709851,0,0,0,0,0,0,0,0,0
ETH,0.328402653902785,0,0,-0.0890638286986425,0,0,0.0117440598719947,0,0,0,0.222142344725779,0,0,0,0,0.0199502176355103
XRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.500015074649287,0,0,-0.00781967643717182,0,0,0.00420090360682076,0,0,0,0,0,0,0,0,0
DASH,0,0.0934232282824982,0.11221793134886,-0.00741135832180072,0,0,0,0,0,0.0409933087262808,0.0310125579402719,0,0,0,0,0
XEM,0.503418978144637,0.00734841168073315,0,-0.0210552878811417,0,0,0,0,0,0.289533572698437,0.0315200393461731,0,0,0,0,0
DOGE,0.125265700928015,0.0180203726261811,0,-0.00503397497140091,0,0,0.0769712824391227,0,0,0.0208225619738392,0.0357631309808768,0,0,0,0,0
XMR,0.400581018822981,0,0,-0.000044172324943158,0,0,0,0.0782226396862624,0,0,0.0308649631528094,0,0,0,0,-0.0567368332078869
XLM,0,0,0,0,0,0,0.19720621972573,0,0,0,0,0,0,0,0,0
DGB,0,0.184893122914588,0,0.00366916942541531,0.225376210274872,0,0.0704311764966699,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.00560925055696814,0,0,0,-0.00988348854131438,0,0,0,0,0,0,0,-0.0658307026449176
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123570168164701
DXY.INDEX,0,0,0,-0.00000000179434631029039,0,0,0,0,0,0,0,0,0.0311450403586508,0,0,0
SPX.INDEX,0,0,0,-0.0000000473251281343183,0,0,-0.0000000433098714914759,0,0,0,0,0,0,0,0,-0.0391526191012716
VIX.INDEX,0,0,0,0.00000101062231667868,0,0,0.000000361151424804164,0,0,0,0,0,0.432988176879512,0,0,0
