,BTC,XRP,ETH,LTC,XEM,DASH,ETC,XMR,XLM,DOGE,ZEC,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0.418380525539834,0,0,0,-0.1583157052642,0,0,0,0,0
ETH,0,0,0,-0.00000000000000000173472347597681,0,0.0319089782370894,0.225961710545633,0.624883666875077,0,0.033395601390086,0,0,0,0,-0.076287126533799,0,0,0
LTC,0,0,0,0,0,0,0,0,0.0867181594835058,0,0,0,0,0,0,0,0,0
XEM,0,0,0,-0.106010687930528,0,0,0,0,0,-0.0927939437161278,0,0,0.25986080922594,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0,0.0622236132327298,0,0,0.0561392549338572,0,0,0,0,0,0
ETC,0,-0.0252871901820552,0.376653708153655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0.00906181003810507,0.363256035747959,0,0.0707288743589654,0,0,0,0.0355009596883151,-0.035649843525557,0.037641321206137,0,0,0,0.0964647444007061,0,0,0
XLM,0,0.369815013600991,0,0.0589687812970042,0,0,0,0,0,0.191724343998803,0,0,0.0304038160234955,0,0,0,0,0
DOGE,0,0.199448355680356,0.0467258756964272,0.0881893522225996,0,0,0.0530311470007534,0,0.110477522235379,0,0.0327283813938994,0,0.126163768999781,0,0,0,0,0
ZEC,0,0.0122639559662069,0.084627168686138,0,0.128902328065024,0,0.0276052330558508,0.108739437930917,0,0.0962644719464078,0,0.0979384053579116,0.024901937074311,0,0,0,0,0
NEO,0,0,0,-0.0371670346948524,0,0,0,0,0,0.0350920365254847,0.206579116634013,0,0.0155357035603039,0,0,0,0,0
DGB,0,-0.234723208885955,0,-0.073984799284798,0.147444262382419,0,0,0,0.399025470157684,0.235532939939255,-0.0999680685858753,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.00121786542679941,0.0000870732343231028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.095109100868244
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,-0.000000344912430591345,0.0000000215783609199002,0,0.00000000478290146958239,0,0,-0.000000426568594997806,0,0,0,0,0,-0.020474926507699
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
