,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,DGB,XLM,DOGE,ZEC,BAT,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,-0.000000000000000000867361737988404,0,0.106583216100162,0,0,0,0,0,0.0479129001798319,0,0,0,0,0
ETH,0,0,-0.0720952192827544,0,0.0546785140948594,0,0.130989304023988,0,0,0,0,0.119172480815698,0,0,0,0,0,0,0
XRP,0,0,0,0,-0.11604462356778,0,0,0,0,0.454412246458495,0,0,0,0,0,0,0,0,0
XEM,0,-0.116993083032583,0.217054185731545,0,0,0,0,0,-0.111720672799183,0,0.275406372317531,0,0,0.135540484471757,0,0,0,0,-0.0728527430374721
ETC,0,0.226796599946548,-0.102129379546646,0,0,0,0,0,-0.0180569319922218,0,0,0,0,0.310354168433984,0,0,0,0,0
LTC,0,-0.0958709640063325,0,0,0,0,0.154926484737528,0.248409435754749,-0.0639493203580136,0.055111736822881,0.0553591395263845,0,0.0149690800196922,0.148022408074451,0,0,0,0,0.0249172981494208
DASH,0,0,0,0,0.0406296064687636,0.048084804163536,0,0.083734365359986,0,0.0867908505279887,0.00257683139290882,0,0,0.0771279522315452,0,0,0,0,0
XMR,0,0,0,0.0188813454620646,0,0.00000000000000000173472347597681,0.0486188664311612,0,0,0.103111996935965,0,0,0,0.0924070203112017,0,0,0,0,0
DGB,0,0,0,-0.249334369686572,-0.132492207421714,-0.308169753461161,0,0.284617524471253,0,0.142183003848813,0.685608377053323,0,0,-0.0569682354689248,0,0,0,0,-0.352406499301675
XLM,0,0,0.468255092155837,0,0,0,0,0.147510899484803,0.00713976136754826,0,0.0633794548678412,0,0,0,0,0,0,0,0
DOGE,0,0,0,0.148610893809272,0,0.242775393080331,0,0,0.0699604069773442,0.089195749634183,0,0,0,0.0554650851161066,0,0,0,0,0
ZEC,0,0.293713973503214,0.0286834124141892,0.0358739339954052,0,0,0,0.0399531824639633,0,0.0195457050397517,0.0431868324825194,0,0,0.0159415996112424,0,0,0,0,-0.0259381107358229
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0.281193156685831,0,0,0.123857785373356,0,0.0288769129737508,0.00683692070264329,0.12290995223331,-0.0519836355867899,0,0,0,0,0,-0.102652388635322
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0235917791893955,0,0,0,0,-0.0560760206594412
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0.000283085459222131,0.000055540520233227,0,0,0,0,0,0,0,0,-0.0237846016316052
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
