,BTC,ETH,XRP,LTC,EOS,BCH,BNB,XLM,TRX,BSV,ADA,XMR,MIOTA,DASH,MKR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.121684724673129,0,0.032255993577054,0.0856724829262678,0.0296202098614248,0.0237193062135979,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.160705703514489,0.173637245389942,0.0795177062740793,0,0,0,0,0.0508706533534217,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.0845055874107215,0.0953606940308779,0.0495419554736644,0,0.0192144740679474,0,0,0.219096009066156,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0.230263983881348,0.0843933578700999,0.0982563663888882,0,0,0,0.278037766786059,0,0,0,0,0,0,0,0,0
EOS,0,0.0432426326608839,0,0.109482539885733,0,0.117291676969669,0,0,0,0,0.347623890213876,0,0,0,0.0118068789668504,0,0,0,0,0
BCH,0,0,0,0.286477298890569,0.19252971064935,0,0,0,0,0.0854478289017997,0,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0.201319763582062,-0.000000000000000000433680868994202,0,0,0,0.222216789104422,-0.0891562157863958,0,0.130454257651342,0,0,0.273658203599517,0,0,0,0,0
XLM,0,0.0316910857869205,0,0.0838797350615078,0.0321401086327251,0.14890755659236,0,0,0,0,0.163995997519288,0,0.0587812058933959,0,0,0,0,0,0,0
TRX,0,0,0,0,0.0610775993979415,0,0,0,0,0,0.35317906361185,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0.0373785454283588,0.0144377865785941,0.371242122516052,0,0,0,0,0.0606921624929386,0,0,0,0,0,0,0,0,0
ADA,0,0.182051503111923,0,0.116546540058777,0.281796082334278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0.168316381498436,0,0,0.204328958576195,0,0.0399843927650867,0,0,0,0.170116735637158,0,0,0,0,0,0,0,0,0
MIOTA,0,0.049728769937424,0,0,0.21821456372633,0.189116672364104,0,0,0,0,0.188262220311719,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0.325580627141338,0,0,0,0,0,0.0601715276677863,0,0.0838932391869393,0,0,0,0,0,0,0
MKR,0,0.407179072636501,0,-0.000000000000000000867361737988404,0.271499422903361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0157447075720011
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0915448180181686
VIX.INDEX,0,0,0,0.00000746720500723961,0.0000156279018068728,0,0,0,0,0,0,0,0,0,-0.0000179073874016937,-0.120201423857936,-0.0000179341660371143,0,-2.38505008264483,0
