,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,XMR,DASH,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0364035400053878,0.0215981555115267,0.00600469638234556,0,0,0.125061356971426,0,0.0497658023695425,0,0.0228473920625599,0,0.108177242006062,0,0,0,0,0,0,0
ETH,0,0,0.0442491395175222,0.137570840347046,0,0,0.0512870881193916,0,0.0482798933354536,0,0,0,0.0400218267253489,0,0,0,0,0,0,0
XRP,0,0,0,0.0436991804406537,0,0,0.0863466338550749,0.157215753253099,0.143710279695472,0,0.071668960206441,0.0399040271078669,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0.158043244744157,0,0,0.120755271596601,0.287374765156832,0,0.0963172458463697,0,0,0,0,0
EOS,0,0,0,0,0,0,0.369493467659219,0.00538083665379184,0,0.231842887162581,0,0.000000000000000000867361737988404,0,0,0,0,0,0,0,0
LTC,0,0.0964357074256832,0.133078232426404,0.0736832406214096,0.0252132356794042,0,0,0,0.115724362344352,0.024951419229712,0.0157304979915326,0,0.103200795471267,0,0,0,0,0,0,0
ADA,0,0,0.265411847103926,0,0.0417522679906507,0,0,0.311453197858515,0,0,0.0384429512753162,0,0,0.0465439870539689,0,0,0,0,0,0
XLM,0,0,0,0,0.0696212972537594,0,0.35854140549698,0,0,0,0.131912897258351,0,0,0.000720424718920041,0,0,0,0,0,0
MIOTA,0,0,0.0712802132687543,0.0972685819362877,0,0,0.219687843102403,0,0,0,0,0.223656271575872,0.115124825155403,0,0,0,0,0,0,0
TRX,0,0,0,0.0911628667414552,0,0,0,0.33161302397813,0,0,0,0.191690513618134,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0.104698747148129,0.189132007604875,0.0769219335360824,0.0320845278896765,0,0.224578481737585,0.135199702947362,0,0.0397120001784719,0,0,0,0,0
XMR,0,0,0,0.113056283148955,0,0,0,0.122269618592643,0.0694159017009545,0,0,0,0.290974533458047,0,0,0,0,0,0,0
DASH,0,0,0,0.215991765544064,0,0,0,0,0.112388333480366,0.0376058286196163,0.0163938688974279,0.0397035554197319,0,0,0,0,0,0,0,0
XEM,0,0.0997742677791522,0.00397257979551366,0,0,0,0.0346342710057239,0.218335656576943,0.172155311464644,0.0258083389026749,0.0524844468213553,0,0,0,0.110988181037661,0,0,0,0,0
ETC,0,0,0,0.113576454941791,0.0406587236930753,0,0,0.0875484247439753,0,0.0450441021208942,0.165105571936771,0,0,0.0818307394870846,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.0223032059103238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0492022806028629
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0.0000000140950491667487,0,0,0,0,0,0,0,0,0,0,0,-0.109508776344976
VIX.INDEX,0,0,0,0,0,0,0,0,0,-0.00000635367463050726,0,0.00000638456303760755,0,-0.0000110933354734202,0,0,0,0,-3.71173931304395,0
