,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XLM,TRX,ADA,XMR,LEO,LINK,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0986600877688146,0,0.155289044798426,0,0,0.0362050697020615,0.0341380691462174,0,0,0,0,0,0,0.116744575820125,0,0,0,0,0
ETH,0,0,0,0.101077543496902,0.00468360413429804,0.274186318028995,0.0344799469119558,0,0,0.0428749859639601,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.0621253373291048,0,0.215349511576035,0,0,0,0.124061804515754,0,0,0,0,0,0,0,0,0,0
BCH,0,0.0819911065645915,0,0,0.000000000000000000867361737988404,0,0.0960923494786521,0.226250658422034,0,0.206136469702402,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.263306255507879,0,0.338898882140664,0,0.0329597158803147,0,0.00919100477160549,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.0081800765225064,0.0507673291175107,0,0,0.0450756834234039,0,0.266039378590114,0,0,0,0,0.0224430979997351,0,0,0,0,0
BNB,0,0,0,0.199984468854936,0,0,0,0.0061754971581182,0,0.136469404395951,0,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0.371195721523971,0,0.248048704760853,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0.290362961921789,0.0172609976074431,0,0,0,0.0900878380210641,0,0.192907410004826,0,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0.386030476947294,0,0.161243019665095,0,-0.00000000000000000346944695195361,0,0,0.166499910396619,0,0,0,0.00440671989695814,0,0,0,0,0
ADA,0,0,0,0,0,0.305632652771648,0.0126006763149026,0.0759473517390234,0.0102418231955951,0.171446506168707,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.377469583969306,0,0,0,0.0770696012829876,0,0.0269371321272755,0,0,0,0,0.0515525352908013,0,0,0,0,0
LEO,0.0474333423897764,0,0,0,0,0,0,0,0,-0.00899881650468375,0,0,0,0,0.0349131691749518,-0.104490939930069,0,0,0,0
LINK,0,0,0.202254303425431,0,0,0,0,0.0589041277708879,-0.0373757980819519,0.130925793567312,0,0,0,0,-0.113740429722365,0,0,0,0,0.0879240387565372
NEO,0,0,0,0.133514342646538,0,0.101764183542706,0.201383003204365,0.0722240838148825,0.120910881881083,0.101329385185328,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.154864349042801
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200040420471612,0,0,0,0
SPX.INDEX,0,0,0,0,0,0.00000141551752661226,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.077126435187742
VIX.INDEX,-0.0000166403586551093,0,0,0.00000809212885600217,0,0.00000590393181628207,0,-0.00000197430177933648,0,0,0,0,0,0,0,-0.237231197677896,0,0,-1.64924728185258,0
