,BTC,XRP,LTC,DOGE,DASH,XLM,XMR,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.105115756755254,0.557451175010071,0.0539715798663795,0.0282549158925321,0.0348265854258408,0,0,0,0,0,0
XRP,0.329355401047334,0,0,0,0.0256211621090466,0.138943263607577,0,0.0656342016364632,0,0,0,0,0
LTC,0.521107145565015,0,0,0,0,0,0.0427144768055621,0,0,0,0,0,0
DOGE,0.519423038125099,0,0.1222279211938,0,0,0,0,0.00958616386951518,0,0,0,0,0
DASH,0.638605966824949,0,0.0918455346824624,0,0,0,0,0,0,0,0,0,0
XLM,0.366824194716656,0.264224837149234,0,0,0,0,0,0,0,0,0,0,0
XMR,0.911942209242789,0,0,0.182050992682236,0,-0.151195961841721,0,0.0194348937675304,0,0,0,0,0.0407530150356504
DGB,0.702492602342005,0,0.108666053403231,0,0,0,0,0,0,0.200042579990044,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,-0.0284327218295594
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,-0.000000276821882342605,0,0,0,0,0,-0.0792628349367487
VIX.INDEX,-0.0000000910087378265166,0,0.0000000085191137264607,0,0.0000000390631049073332,0,-0.0000000203631036108975,0.0000000396050638570325,0,0.00000118298488350612,0,-2.85636257225305,0
