,BTC,ETH,XRP,BCH,EOS,LTC,BNB,XLM,ADA,TRX,XMR,DASH,BSV,XTZ,MIOTA,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0648851654213894,0.115448324972481,0,0,0,0,0,0,0,0,0.03514237707846,0,0,0,0,0,0
ETH,0,0,0,0,0.204591177888915,0.0884357475203209,0,0,0.0308941782547852,0,0,0,0.11437208254896,0.027515220679397,0,0,0,0,0,0
XRP,0,0.169668689914912,0,0,0.0682966252542576,0.0218435964618015,0,0.0451935789626698,0.0902653389280448,0,0.011334644998149,0,0.00629532007231762,0.0363115968590692,0,0,0,0,0,0
BCH,0,0,0,0,0.286859816740449,0.222177171334166,0,-0.00000000000000000173472347597681,0.180759046998526,0,0,0,0.0963741865792932,0,0,0,0,0,0,0
EOS,0,0.151549194369603,0,0.0506908475668392,0,0.328116312599548,0,0,0,0,0.110641832128918,0,0,0.00705204982360595,0,0,0,0,0,0
LTC,0,0,0,0.44863246006817,0.101484075918842,0,0.0519089178601095,0,0,0,0,0,0.108200824587821,0,0,0,0,0,0,0
BNB,0,0,0,-0.107896642014469,0,0.769337579570469,0,0,-0.19544331578329,0,0,0.197426043528096,-0.182698851850238,-0.0516428255030971,0,0,0,0,0,-0.0289519581103303
XLM,0,0,0.136367796961429,0,0.094041683341047,0,0,0,0.0770587868477651,0,0.12528199245255,0.178020742836654,0.021414039287306,0,0,0,0,0,0,0
ADA,0,0,0,0.263617459934821,0.305259121982695,0,0,0,0,0,0,0,0,0,0.0182390301905201,0,0,0,0,0
TRX,0,0.0214052583084203,0,0.0533802866690464,0.00155515916791277,0,0,0,0.0553326498091991,0,0.0868724511345108,0.0903022127578063,0.0747592205167995,0,0,0,0,0,0,0
XMR,0,0.197896121453441,0.0820679793200955,0,0.121399309603247,0.0453807912989917,0,0.0244739421805214,0,0,0,0.0114209338065874,0,0.0174682137163033,0,0,0,0,0,0
DASH,0,0.224830629361655,0,0,0.16638739699802,0,0,0,0.0183952398073114,0,0.0632447237338464,0,0.102113765791538,0,0,0,0,0,0,0
BSV,0,0,0,0.0566250959541881,0.065298555138789,0.285320675527349,0,0,0.0611006558954227,0.0524893626053709,0,0,0,0,0.0297398621457113,0,0,0,0,0
XTZ,0,0,0,0,0.186192764746874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0.121534880281764,0,0,0,0.108095600784918,0,0.0396447715301609,0.104338219145736,0.0304798156593553,0.0291388298714613,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.039354413254132
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0.00000183916937652203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0671384301653638
VIX.INDEX,0,0,0,-0.00931436323441894,0,0,0.0019478326109948,0,0,0,0.00608849655801977,-0.00603654527657627,0,0.00252092959834177,0.000222792120993628,0,0.0188813551946464,0,-1.72710200519118,0
