,BTC,ETH,XRP,BCH,ADA,XEM,LTC,XLM,MIOTA,DASH,EOS,NEO,TRX,XMR,BTG,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0.1449413808955,0.0508923420481633,0.0395362367481089,0,0,0,0.122158548866348,0,0,0,0,0,0,0
ETH,0,0,0,0.101937578763674,0,0.020135546949065,0.204873156149395,0.0422293790798,0,0,0,0.0178572011635171,0.0530029614178494,0,0.00909329081268909,0,0,0,0,0
XRP,0,0,0,0,0.115840426898842,0.108560780542243,0,0,0,0,0,0,0.030124404139404,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0.08103758796544,0.00259487671519472,0,0,0.192801262904785,0.130795192062468,0.0907096507204843,0,0,0.218328184769622,0,0,0,0,0
ADA,0,0,0.158981653111831,0,0,0.0599624503258158,0,0.45564149912563,0.0221732289057821,0,0,0,0,0,0.0182223265007922,0,0,0,0,0
XEM,0,0,0.141040959691745,0,0.0249226091292644,0,0.0347166253934042,0.247901360355234,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.21600245963952,0.326188451478698,0,0,0,0.238717520626489,0,0,0.0458200538049101,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0.369959504330847,0.014504976267488,0,0,0.100847680951617,0,0.177833978570751,0,0,0.0579240060932966,0,0,0,0,0,0
MIOTA,0,0,0,0,0.130913482924721,0.136625631927205,0.134081963032656,0.0544702841313877,0,0,0.0485483778775459,0,0,0,0.0142354795569802,0,0,0,0,0
DASH,0,0,0,0.0827161972749798,0,0.0170623552302618,0.0856513429690055,0,0,0,0,0.0157297890449011,0.0868510375426697,0.141409896167725,0.0143693040561849,0,0,0,0,0
EOS,0,0,0.165862063737343,0.0833880253480316,0,0,0,0.0187237980825039,0.193610140235106,0,0,0.105746150945041,0.113421376137738,0,0.040506525293892,0,0,0,0,0
NEO,0,0.21442401714654,0.0648301664852638,0.0576177470978251,0,0.0174462580323759,0,0.246864132740882,0,0,0,0,0,0,0,0,0,0,0,0
TRX,0.390455450352795,0,0,0.138647545413431,0.117672155820447,0,0.131279556340663,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.0163366776618978,0,0,0,0.118337391262527,0.0354188432569993,0.146119068711596,0,0.0798338120223278,0,0,0.0382894652348121,0,0,0,0,0
BTG,0,0,0,0.481372675076423,0.0103835473443778,0.00323758561447248,0,0,0,0,0.000000000000000000216840434497101,0,0,0.0765425147349115,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0.0054457594171016,0,0.00281958341077415,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00267210250329162,0,0,0,0,0,0,0,0,0,0.00240682292865098,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
