,BTC,ETH,BCH,MIOTA,XRP,DASH,LTC,BTG,XMR,ADA,ETC,XEM,NEO,EOS,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.124883439451085,0,0,-0.0805830104872995,0.118569919502716,0.0233334576369309,0,0.0155255402059781,0,0,0,0.127885217421592,0,0,0,0,0,0
ETH,0,0,0,0,0.0297425988769259,0.0668992755907944,0,0,0,0.033234633584946,0.148106397948682,0.0780796385084924,0.0219062651214042,0.0309991224317069,0,0,0,0,0,0
BCH,0,0,0,0,0,0.127857060558089,0,0.125072615789972,0,-0.0457522887918,0.0749193059266587,0,0.292460829505768,0,-0.023436255880576,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,-0.0159817625605213,0,0.27809939096229,0,0,0,0,0.0871871519123585,0,0,0,0,0
XRP,0,0,0,0.0000000000000000000542101086242752,0,0,0,-0.0296627408259575,0,0.0966510652998546,0.103852458479372,0,0,0.000887213005706669,0.0406123297222306,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0,0.0721297448045282,0,0,0,0.0459003851376695,0,0,0,0,0,0,0
LTC,0.0529915129454213,0.117986366657217,0,0.0229535507668384,0.141485637697794,0,0,0,0,0.0315806559871011,0.0958375546408611,0.0962450729374814,0,-0.000000000000000000867361737988404,0,0,0,0,0,0
BTG,0,0,0.27039707565897,0,0,0,0,0,0,0,0,0,0,0,-0.00199424695946058,0,0,0,0,0
XMR,0,0,0.0549027606314612,0.0885392715817822,0,0.0993465200359334,0,0,0,0.134743603677283,0.0319043799826433,0,0.0506072268188116,0,0.019922537800576,0,0,0,0,0
ADA,0,0,-0.145982637738103,0.0241619552268795,0,0,0.297943626804522,-0.0222985452001892,0.0356591365172589,0,0.294739934300748,0.332532526522252,0,0,0,0,0,0,0,0
ETC,0,0,0.150499739196218,0,0.0441726978935186,0,0,0,0,0.213568472070432,0,0,0,0.0171066312962548,0.0166309196438316,0,0,0,0,0
XEM,0,0,-0.0361539121182144,0.0640224459008366,0,0,0,0,0.0823705514615238,0.042656792964622,0.0780026902993971,0,0,0,0.0343285756675588,0,0,0,0,0
NEO,0,0,0,-0.00000000000000000173472347597681,0,0,0,0,0,0,0.0308350498332517,0,0,0.0541963009741054,0.148328672321928,0,0,0,0,0
EOS,0.104266713687655,0,0.130372236363739,0.224118646843565,0,0,0.190486617742764,0.00357526415214574,0,0,0.104682150887,0,0.132288094729441,0,0,0,0,0,0,0
XLM,0,0,0,0.157334778369218,0,0,0,-0.0161908293255239,0.186500856471769,0.248066916186524,0,0.104530264261868,0,0.105679914501865,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,-0.0102555656762448,0,0,0.0203836303299923,0.0235827969479952,0.0130579707070168,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,-0.0000000222559896851293,0,0,0,0,0,-0.0000000374513953290489,0,0,0,0,0,0,0,0,0,-0.0123793157448771
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
