,BTC,ETH,XRP,BCH,EOS,LTC,BNB,XLM,ADA,TRX,BSV,XMR,DASH,MIOTA,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0496653148725887,0.0976982432073299,0,0,0,0.0385485438117444,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.102362680973061,0.187031945082342,0.116625640337966,0,0,0.0515687241090256,0,0.0113453781365266,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.0555767256651871,0.182084992577548,0,0,0.0164863533899769,0.0390578444428661,0,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.114557249791161,0.266708312764739,0,0,0.188360920578973,0,0.0509305981320138,0,0,0,0,0,0,0,0,0
EOS,0,0.20677052282471,0,0.0594996763831929,0,0.298603582339142,0.00941635883387668,0,0,0,0,0.0866640609205049,0,0,0,0,0,0,0,0
LTC,0,0,0,0.45948312962446,0.14897490459512,0,0.0489827231951744,0,0,0,0,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0,0,0.277523855786007,0,0,0,-0.130393987184104,0,0,0.329499692679043,0,0,0,0,0,0,0
XLM,0,0,0.13455185483225,0.101895073700647,0.0927030472532902,0,0,0,0.00625899840433654,0.145472657539023,0.0193176777004145,0,0.00000000000000000173472347597681,0,0,0,0,0,0,0
ADA,0,0,0,0.263601984948313,0.233687645032039,0.0750850576211236,0,0,0,0,0,0,0,0.0509792769016525,0.0661111359575424,0,0,0,0,0
TRX,0,0,0,0.0579215715877332,0.0413564096827566,0,0,0.00416510624183015,0.0385065607198811,0,0.107203685992559,0.256540727837954,0.0403590465876683,0,0,0,0,0,0,0
BSV,0,0,0,0.127389150635575,0.124264179984353,0.114957218039553,0,0,0.0409339424495585,0,0,0.0453396532233583,0,0,0.0271797995778692,0,0,0,0,0
XMR,0,0.212505215562875,0,0,0.152101364696957,0.0288347141339296,0,0.032250675277829,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0.0541170148583491,0,0,0.17163252251405,0,0.035191118754356,0,0.0209458112686968,0.00356342342421246,0.0436501385415338,0.182169089214439,0,0,0.088032025149375,0,0,0,0,0
MIOTA,0,0.0432153320959625,0,0,0.239681354822004,0,0,0,0.0550322549234727,0,0,0,0,0,0.0358887637776861,0,0,0,0,0
NEO,0,0,0,0.144359707261303,0.162993980232237,0.00122648711588087,0,0,0.123257010337909,0,0.191974488380934,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0393544132541318
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,-0.00000000000000000000000661744490042422,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0742247922185965
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
