,BTC,XRP,ETH,BCH,ADA,XEM,LTC,TRX,XLM,MIOTA,DASH,EOS,XMR,NEO,BTG,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0850951793321979,0,-0.0108270913025483,0.0464895502819799,0,0.0568992946765076,0.06550321968487,0.0941039672538388,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0.0716410962634186,0.10741126706806,0,0.0289470924189941,0.0731302270114529,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0.152824699151405,0.0408481158948504,0.017000497928425,0,0,0.08434296644736,0,0,0.0258942535426983,0,0,0,0,0
BCH,0,0,0,0,0,0.00412410306222442,0,0,0,0,0.278183182078715,0.0918200574811132,0,0.0583794313513471,0.304578065933549,0,0,0,0,0
ADA,0,0.178883994060541,0,0,0,0.0580038201674947,0,0,0.501675592233648,0.0267073687833102,0,0,0,0,0,0,0,0,0,0
XEM,0,0.108078330904926,0,0,0.0470398724698096,0,0.050412175019966,0,0.262038962750499,0,0,0,0,0,0,0,0,0,0,0
LTC,0.189771534182256,0,0.373396524621492,0,0,0.234000849078905,0,0,0,0.0464099318408739,0,0,0,0,0,0,0,0,0,0
TRX,0.308762440538913,0,0.592873231815296,0,0.110332494672435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0.34391804916385,0,0,0,0,0.0569870765402546,0,0.0883601452351652,0.14517688766524,0,0,0,0,0,0,0
MIOTA,0,-0.0611985404825342,0,0,0.0485511807375063,0.177791888357287,0,0,0.204713034897621,0,0,0,0.0914108816136104,0,0.0323575206087973,0,0,0,0,0
DASH,0,0,0,0.103555533670059,0,0.00721355218146005,0.106432494897234,0.0803794793937327,0,0,0,0,0.0867030042546025,0,0.0100016829120841,0,0,0,0,0
EOS,0,0,0,0.026304566102277,0,0.0159066426739393,0,0.12781698749147,0.0509566609363678,0.168580924106715,0,0,0,0.18035726332366,0.0685203623586662,0,0,0,0,0
XMR,0,0,0,0.00172699298775814,0,0,0,0,0.15008892372857,0.0759578191484998,0.1768946518286,0.0244437326941474,0,0.0737278944542534,0.0329099815478543,0,0,0,0,0
NEO,0,0.121541422198174,0.151389465620801,0.00974716496243755,0,0.0209128359560014,0,0.00686141550628623,0.203991217098702,0,0,0.0266331389210234,0.0690774371276979,0,0,0,0,0,0,0
BTG,0,0,0,0.525038885859,0.0177649776608242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.00755628147313396,0,0.00173649334544938,0.00550519428032488,0.00976936781176228,0,0,0.00706630616159386,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,-0.0027216307907346,0,-0.000714783451026371,0,0,0,0.00235555914402997,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0.000000135967050271022,0,-0.000000013667585942382,0,0,0.000000000000000000000000413590306276514,0,-0.0000000742911722688657,0,0,0,0,-0.012378761506554
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
