,BTC,XRP,ETH,LTC,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.36833813870193,0,0,0,0.0764207067126504,0,0.00691810782310423,0,0,0,0,0
XRP,0,0,0,0,0.0280412614026263,0,0.251678125230785,0,0.0252511955245423,0.00274949355009782,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0.184968466079306,-0.00875721586409031,0,0,0,0,0,0.0614250018441572
LTC,0.491447243933542,0,0,0,0.0137354733489322,0,0,0,0.00374163229203188,0,0,0,0,0,0
DOGE,-0.00000000000000000693889390390723,0,0,0.724585515184792,0,0,0.103303551794223,0,0.005609732887061,0,0,0,0,0,-0.00000000000000000173472347597681
DASH,0,0.0693223022908049,-0.227112508916811,0,0,0,0,-0.0248976066904012,0,0.137750301175114,0,0,0,0,0
XLM,0,0.162708235607593,-0.0201779800974008,0,0.168528418183732,0,0,0,0.0254440903900223,0.0548932266584051,0,0,0,0,0
XMR,0.682573293960771,0,0.0801202103952173,0,0.0374379065457174,-0.0505664317024687,0,0,-0.00637098648527497,0.0217801004640114,0,0,0,0,0
XEM,0,0.120270475349941,0,0.541626015545676,0.0556471255876445,0.109953211742628,0.229758465293329,0,0,0,0,0,0,0,0
DGB,0.51698712486109,0,0,0,0,0,0.085135580596114,0,0.016914674798143,0,0,0,0,0,0.217757445026615
BV010082.INDEX,0,0,0,0,0.00498860063697094,0,0,0,0.00219426100041071,0,0,0,0,0,-0.0413778156361241
CVIX.INDEX,0,0,0,0,0,0,0,0,-0.000000692790974153416,0,0,0,0,0,0.0290475214040967
DXY.INDEX,0,0,0,0,-0.000000549344778503853,0,0,0,0,0,0,0,0,0,-0.0096744220141793
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0998338618085987
VIX.INDEX,0,0.0000000000000000000016940658945086,-0.0000108495835489208,0,0.00000933157709097991,0.0000000000000000000000529395592033938,0,0,-0.00000242431513832069,0,0,0,0,-3.1203837240719,0
