,BTC,ETH,LTC,XRP,DASH,XEM,DOGE,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0216367479613647,0.294611434918913,0,0,0.0176144555214944,0,0,0,-0.0214381241247875,0,0,0,0,0
ETH,0,0,0,0,0.531117027773682,0.166098912533878,0.151410782695448,0.149485299183429,0,0.0982261657029081,0,0,0,0,0
LTC,0.665424417629648,-0.0236632003866727,0,0,0,-0.00743570923922684,0,-0.0499919022143696,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0.0721761184278931,0.0542762398540727,0,0.0497522407767859,-0.0488752663604538,0,0,0,0,0.0516725196443149
DASH,0,0.071279142871792,-0.06647211019741,0,0,0,0,0,0,0.0421342695397913,0,0,0,0,0.0658606760529137
XEM,0.173662438936425,0,0,0,0.140125053247985,0,0,0.0595267943827864,0,0,0,0,0,0,0
DOGE,0.246171156521857,0.0296851643209228,0.00000000000000000000000661744490042422,0.100389540584967,0,0.0727131226787321,0,0,0,0,0,0,0,0,0
XMR,0,0.219047872062951,0,0,0,0,0.110110020454548,0,0.381699093000335,0,0,-0.164272063828787,0,0,0
XLM,0.0681020488684475,0.0079939771426082,0,0,0,0.10906949866802,0.0637436411002695,0.160529716763426,0,0.000000000000000000216840434497101,0,0,0,0,0.0200138479504107
DGB,0,0.0692853936194531,0,0,0,0.171489829412911,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0600766620973813
CVIX.INDEX,0,0,0,0,0,0,0,0,0,-0.000000784557701923807,0,0,0,0,0.117906045042292
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,-0.000000896140978327199,0,0,0,-0.0000000915611656441542,0,-0.0000000000000000000000132348898008484,0,0.000000326873354243813,0,0,0,0,-0.0609550998217966
VIX.INDEX,0,0,0,0.0000247404596023736,0,0,0,0,0,0,0,0.576009739789564,0,0,0
