,BTC,XRP,ETH,BCH,XLM,EOS,LTC,ADA,XMR,TRX,MIOTA,DASH,BNB,XEM,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0285255494869418,0.0930519946793587,0.00661540545627746,0,0,0,0,0,0.0233589126745252,0.0282516592106119,0,0,0,0,0,0,0,0,0
XRP,0,0,0.485297169106049,0,0.0844947642406347,0,0,0,0,0,0.297789400597807,0,0,0,0,0,0,0,0,0
ETH,0,0.166796729875357,0,0.0915150410115909,0,0,0,0,0,0.0443302451884945,0,0,0,0,0,0,0,0,0,0
BCH,0,0.0973405368286165,0.0627887327583471,0,0,0,0,0.0841804276512598,0,0.139422789161988,0.115026890388651,0,0,0,0,0,0,0,0,0
XLM,0,0.130875374934397,0,0,0,0,0,0.608914113748524,0,0,0,0,0,0,0,0,0,0,0,-0.0228561765895253
EOS,0,0.124370534219929,0,0.147024783787182,0,0,0,0.18021413580817,0,0.0328636414628979,0,0,0,0,0,0,0,0,0,0
LTC,0,0.0536597084801941,0,0.176918798956649,0,0,0,0.189160819219952,0,0,0.134576865871046,0,0,0,0,0,0,0,0,0
ADA,0,0.166558428264937,0,0.0814875575981908,0.31469381971114,0,0,0,0,0.0461109216154026,0,0,0,0,0,0,0,0,0,0
XMR,0,0.0766903092921619,0,0.159613107774534,0,0,0,0.0705389660652444,0,0,0.0752093897514107,0,0,0,0,0,0,0,0,0
TRX,0,0.0881601315405649,0.114374554018347,0.0220004231907752,0,0,0,0.324349824494569,0,0,0.0763029319210598,0,0,0.0618619262865564,0,0,0,0,0,-0.00807264415340892
MIOTA,0,0.117587483757307,0,0.0302230292170097,0,0,0,0,0.154684700789521,0.141064195907592,0,0,0,0.178284616677491,0,0,0,0,0,0
DASH,0,0.0920801595959081,0.0677053111401121,0.0563148972294944,0,0,0,0.103194400434748,0,0,0,0,0,0.0371514732267411,0,0,0,0,0,0
BNB,0,0.0153171294480183,0.113144409858333,0.0230201733510541,0,0,0,0.00629585151528216,0,0.127803015376102,0,0,0,0,0,0,0,0,0,0
XEM,0,0.0317329505543238,0,0.118691508384269,0.0502024097308317,0,0,0.0193112342466143,0,0.152878212037807,0.206208751622192,0,0,0,0,0,0,0,0,0
NEO,0,-0.0000000000000000000542101086242752,0,0.138181231609329,0.00680875648715857,0,0,0.294425302528825,0,0,0,0,0,0,0,0,0,0,0,-0.0155542737250901
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0125866069804681
CVIX.INDEX,0,0.00000106694913169752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445912546021314
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0887000794633869
VIX.INDEX,0,-0.00000321615982111159,0,0.00000158080277063368,0,0,0,0,0,0,0,0,0,0.00000159397612067147,0,0,0.399052647878801,0,-3.72725906544246,0
