,BTC,XRP,ETH,XLM,BCH,EOS,LTC,BSV,ADA,TRX,XMR,MIOTA,DASH,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0960664349311329,0,0,0,0,0.00437534178600943,0.00592284324312416,0.0335268634944333,0,0.128310288672442,0,0,0,0,0,0,0,0
XRP,0,0,0.00000000000000000693889390390723,0.147624825713793,0.0571211784834362,0,0,-0.000888811539289501,0.0623842140001897,0,0,0.212711665716034,0,0,0,0,0,0,0,0
ETH,0,0.0738551436232636,0,0,0.194860797907401,0,0,0,0.0743583487070707,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0.249262959570181,0,0,0.0294090223569874,0,0,0,0.429467556494792,0.0535275217705668,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0.249601729087295,0,0,0,0,0.0409923525152781,0.232277030930674,0,0,0.173125644221324,0,0,0,0,0,0,0,0
EOS,0,0.0450248152759219,0.151822166884284,0.129048796614856,0.0689311287633026,0,0.0532737693532509,0,0.0599699576701624,0,0,0.0335041689779488,0,0,0,0,0,0,0,0
LTC,0,0,0.438026001287422,0,0.0272006874167706,0,0,0,0.179539173032301,0.000544390790838942,0,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0.0337537796900269,0.055894857661344,0.225940020506733,0,0,0,0,0.191281856899539,0,0.159620527624017,0,0,0,0,0,0,0,0
TRX,0,0,0.231330254915058,0.0659183962098035,0.0799088971172437,0,0,-0.00116855240375977,0.0714783617189917,0,0,0.216637086789658,0,0,0,0,0,0,0,0
XMR,0,0,0.110735465881315,0,0.0370357650572942,0,0,0.0064519658572645,0.120978581500665,0,0,0.175733787212173,0.0336717778294711,0,0,0,0,0,0,0
MIOTA,0,0,0,0.014562349922209,0.221789314046239,0,0,0.0210483776121909,0.125817162932151,0.112608251001774,0,0,0,0,0.0418242691290522,0,0,0,0,0
DASH,0,0,0.0798068533583433,0,0,0,0,0.00462647676536905,0.198429667913385,0,0,0.138825208952191,0,0.0765271385612054,0,0,0,0,0,0
XEM,0,0,0,0,0.014184783987972,0,0,0,0.0780960112408535,0.133851981516494,0,0.21183361098948,0.129144679704342,0,0,0,0,0,0,0
BNB,0,0,0,0,0.0946998680490664,0,0,0,0,0.133136248251362,0,0.0339086864989017,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0125866069804682
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0322278560155805
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.106868251758368
VIX.INDEX,0,0,0,0,-0.00000309202046953558,0,0,0.0000000539770873381338,0,0.00000158478647103006,0,0,0.000000940396674706953,-0.000000373599392413986,0,0,0.26020327433347,0,-2.9109184087154,0
