,BTC,ETH,XRP,LTC,EOS,BCH,TRX,XLM,BNB,BSV,ADA,XMR,MIOTA,DASH,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.134871261594099,0,0,0.0558584913116869,0.0824240659263105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.183721499410108,0.0876784757381312,0,0,0,0,0.169076204971125,0,0,0,0.138078032056347,0,0,0,0,0
XRP,0,0.0939833355361726,0,0,0.0511083733261026,0.0643721735841607,0,0,0,0,0.148046646760832,0.0259242407597754,0.0111296744087638,0,0.0509688254848581,0,0,0,0,0
LTC,0,0.231341177765902,0,0,0.167660632323553,0.108882293739167,0,0,0,0,0,0,0,0,0.0716593860847978,0,0,0,0,0
EOS,0,0.366168624382756,0,0.168558340708479,0,0.0676736909965775,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0.261935477887979,0.073165228225435,0,0.024487613360395,0,0,0.29827395792164,0,0,0.0802120581304253,0,0,0,0,0,0,0
TRX,0,0,0,0,0,0.278753376947839,0,0,0,0,0.0305680440202853,0,0,0,0.305238217389587,0,0,0,0,0
XLM,0,0.159770214763084,0,0.105187331384949,0.0885784484106552,0.0946560245592477,0,0,0,0,0,0.0571956546839745,0.0787386009008,0,0.0513075109332596,0,0,0,0,0
BNB,0,0.0488389091887304,0,0.0990205636473211,0.36355507616021,0,0.119986301553292,0,0,0,0,0,0,0,0.0884219164436644,0,0,0,0,0
BSV,0,0,0,0.0206109267430511,0.0843734611438808,0.372349273181909,0,0,0,0,0,0,0,0.0174668739311948,0,0,0,0,0,0
ADA,0,0.282932040405567,0,0.157555915594809,0.128794017894359,0.0583435234560232,0,0,0,0,0,0,0,0,0.0686076393033325,0,0,0,0,0
XMR,0,0,0,0,0.237492966913106,0.1867076865987,0,0,0,0,0,0,0,0.182590123072552,0.120695940586988,0,0,0,0,0
MIOTA,0,0.123305374268848,0,0.0374169625151784,0.342275875711972,0.0998038694951761,0,0,0,0,0,0,0,0.039039990692705,0,0,0,0,0,0
DASH,0,0.015494192149642,0,0,0.312850490482728,0.110043571337355,0,0,0,0,0,0.0568286521902698,0,0,0.0228383348811897,0,0,0,0,0
NEO,0,0.374307625341054,0,0,0.314619064567277,0,0.0168382967647246,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,-0.00271118272083436,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0837240147150849
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.128483299618223
VIX.INDEX,0,0,0.00000889611351549548,0,0,0,0.000000193740871463462,0,0.00000489035418308164,0,0,0,0,-0.0000131162532369452,0,0,0,0,-2.84428993324248,0
