,BTC,XRP,ETH,BCH,XLM,EOS,LTC,ADA,XMR,TRX,MIOTA,DASH,BNB,XEM,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0293852679196216,0.113138646511095,0.0143851000110092,0,0,0,0,0,0.0230223556010377,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0.463466414069235,0,0.0905625971488257,0,0,0,0,0,0.274259998802993,0,0,0,0,0,0,0,0,0
ETH,0,0.154673030278998,0,0.0651381757564083,0,0,0,0.112056307707201,0,0.00983558502214997,0,0,0,0,0,0,0,0,0,0
BCH,0,0.0118877537610838,0.192322370571765,0,0,0,0.199774179850339,0.192078972336673,0,0.0397297010196155,0.0890698536522321,0,0,0,0,0,0,0,0,0
XLM,0,0.188700727728123,0,0,0,0,0,0.410611314522239,0,0,0,0,0,0,0,0,0,0,0,-0.0124665969074976
EOS,0,0.132530834992628,0,0.106466692555092,0,0,0,0.186441610665902,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0.0358940539882727,0,0.199569144580832,0,0,0,0.236969077381932,0,0,0.0618814417971975,0,0,0,0,0,0,0,0,0
ADA,0,0.179950933746662,0,0.0713452696133921,0.272016296950538,0,0,0,0,0.0611601857974825,0,0,0,0,0,0,0,0,0,0
XMR,0,0.126341226057549,0,0.0693991724486833,0,0,0,0.0609438826557756,0,0,0.177684830609213,0,0,0,0,0,0,0,0,0
TRX,0,0.0457763145559829,0.317356655396769,0.0249009548899268,0.0088094608034665,0,0,0.251444740752278,0,0,0.0864474200084326,0,0,0.0723293409859221,0,0,0,0,0,-0.00856588628432546
MIOTA,0,0.0984113065550082,0,0.0247158126462688,0,0,0,0.034378745420056,0.161041614533279,0.13072156713579,0,0,0,0.19016898588353,0.050143890371859,0,0,0,0,0
DASH,0,0.0537773139738209,0.175153885794122,0.0722667837397898,0,0,0,0.047462602447041,0,0.0000645835114855557,0,0,0,0.0571138516324068,0,0,0,0,0,0
BNB,0,0.0189926719777001,0.0861853932034206,0.035607691966878,0,0,0,0.0195559035431292,0,0.129402746939057,0,0,0,0,0,0,0,0,0,0
XEM,0,0.041702338029017,0.105248395103741,0.103733177958308,0,0,0,0.00768425666254402,0,0.167460433559916,0.145065506746511,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.0245595280021861,0,0,0,0.431784038247017,0,0,0.0450274579050779,0,0,0,0,0,0,0,0,-0.014224130183596
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0125866069804682
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185474954540177
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.088775348732609
VIX.INDEX,0,-0.000000000000000000000105879118406788,0,0.00000209657611876319,-0.00000152985824384445,0,0,0,0,0,0,0,0,0.000000787160199317813,0,0,0,0,-4.05632168375346,0
