,BTC,ETH,BCH,XRP,LTC,DASH,XEM,XMR,MIOTA,NEO,ETC,ZEC,BAT,EOS,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0102725843595926,0,0.139984533159565,0,0.0906875732116822,0,0.110865500504236,0,0.0634931024787754,0.0151000594624157,0,0,0,0,0,0
ETH,0,0,0.001893007495175,0,0.075565552067594,0,0.0836338149031135,0,0.0917987143186335,0,0,0.0190658411363949,0.0494304524846277,0,0.00237537712994446,0,0,0,0,0
BCH,0,0,0,0,0,0,0.0744109712424769,0,0,0,0.140282185506879,0.157844217269597,0,0,0,0,0,0,0,0
XRP,0,0.334892201595691,0,0,0,0,0.0264675531565724,0,0,-0.00000000000000000010842021724855,0,0,0,0,0.218490725883357,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0,0,0.632150936730952,0,0,0,0,0,0,0,0,0
DASH,0,0,0.00903046515058133,0,0,0,0.0872376600959589,0,0.043890784879285,0,0,0.138345977839445,0.056754166241352,0,0,0,0,0,0,0
XEM,0,0,0.109839459595134,0,0,0,0,0,0.0865536648180898,0.0237898429629115,0,0,0.182808118051241,0,0.164714121340204,0,0,0,0,0
XMR,0,0,0,0.100385365394825,0,0,0,0,0,0,0,0,0.0107374764792691,0,0.263747090532048,0,0,0,0,0
MIOTA,0,0,0,0,0,0.176815559536768,0.0926129462696979,0,0,0.106435009495237,0,0.444383265257117,0.0272952100642721,0,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0.319542149073646,0,0,0,0,0,0.264126537324531,0.163930607965357,-0.180013530874335,0,0,0,0,-0.0131708329749342
ETC,0,0.149072666788848,0,0,0.195956785848549,0,0,0.0297319031501843,0,0,0,0,0.0364444217093444,0.0175803406936398,0.0490570742810349,0,0,0,0,0
ZEC,0,0.282132625426227,0,0,0,0.0711863316446123,0,0.102414761748635,0.0323099267475379,0,0,0,0.0151625864154941,0.0039442888677736,0.0618852249215568,0,0,0,0,0
BAT,0,0.27848992696082,0,0,0,0,0.178800629096884,0,0.0165577155898906,0.256324286889716,0.0528054036028285,0,0,0.0522960869419198,0,0,0,0,0,0
EOS,0,0,0,0,0.0506175678931039,0,0.0736900059777606,0,0.0176049838089412,0.04870492191026,0,0,0.0290674226278393,0,0.125976038385893,0,0,0,0,0
XLM,0,0,0,0.139860198433681,0,0,0.110340452291136,0.276083315506586,0,0,0.260109854207898,0,0.0729176780584798,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0054460298622344
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132503809805084
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,-0.0000000234676356310039,0,0,0,0,-0.000000246378848052759,0,0,0,0,0,0,0,0,0,0,0,-0.0309289044832317
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
