,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,TRX,DASH,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.0423772100477699,0,0,0.0793021219602619,0.0266330607011618,0.179577630353686,0.0978266195718469,0.167905667524272,0.013014717436811,0,0,0,0,0,0
ETH,0,0,0,0.00620874404290346,0.00687199399585106,0.0275018309549108,0,0,0.171172397154561,0,0.186564123312781,0,0.0625184101916767,0.047937027127652,0,0,0,0,0,0
XRP,0,0,0,0,0,0.00746494010638037,0.0841749205592555,0.113376637058051,0,0,0.188317877725074,0.0617222696761121,0,0.0524219689881494,0.167550496189008,0,0,0,0,0
BCH,0,0,0,0,0.220914717230675,0,0,0,0.0455895529489418,0.127059215572304,0,0,0,0,0.0297408267806661,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0,0,0.224812064154083,0.122801606496262,0,0,0.169110501752821,0,0,0,0,0
EOS,0,0,0,0.153118315192929,0,0,0.116242039289901,0.0488306707279404,0,0,0.117162776299678,0,0.043620371670121,0.00948677507120938,0.21516443170539,0,0,0,0,0
ADA,0,0,0.146916296246471,0,0,0.138862854517475,0,0.271341392680357,0,0,0.0512696162773364,0.049967090457616,0,0.0667880633826236,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0.389835335791621,0,0,0,0.0103661932801758,0.125337364059205,0,0,0.130106294285496,0,0,0,0,0
NEO,0,0,0,0.0695529462606151,0,0.00716328581891458,0,0.103458903817596,0,0.311547449143602,0.154251446573431,0,0,0,0.103460459797299,0,0,0,0,0
MIOTA,0,0,0,0,0.0940886833721829,0,0,0,0.0666424473846233,0,0.367006981473812,0.109465919235406,0,0,0.0960370504801029,0,0,0,0,0
XMR,0.203692811956746,0,0,0,0.10050097909475,0,0,0,0.138121198219517,0.0600087698480986,0,0.0104408261900495,0.405870416406222,0,0,0,0,0,0,0
TRX,0,0,0,0.24310165374088,0,0.062462499805296,0,0,0.148754652139283,0.123428658067135,0.0947347155455373,0,0,0.11081139899723,0,0,0,0,0,0
DASH,0,0,0.0127663546915758,0.141688803294376,0,0.00209156298353437,0,0.118162329094423,0,0,0.328355370174544,0.0772661701428043,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0.002653589751155,0.155426509603843,0.112927690199309,0.0318703649576605,0,0,0.293435659088555,0,0,0,0,0,0,0,0
ETC,0,0,0,0.0343872420692326,-0.00000000000000000173472347597681,0.311905994895863,0,0.118525773301968,0.129323036756343,0,0,0.0600517659691168,0,0.00332475326586467,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.0158534383679122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0292148021308986
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0.00000580862301693273,0,0,0,0,0,0,0,0,0,0.0369862721451827
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00342972056990743
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,-0.00000100828339300095,0,0,0,0,0,0,0,-0.0625742783304083
VIX.INDEX,0,0,0,-0.0316766385777975,0,-0.0338737505173038,0.00983095931322393,-0.000000000000000000000211758236813575,0,-0.032116658348429,0,0.0953592112439808,0,0,0,0,0,0,-1.93823061076911,0
