,BTC,ETH,XRP,LTC,DASH,DOGE,XMR,XEM,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.022067247207973,0.0314528738338431,0.110923883268386,0,0,0.00111622909899637,0.00476496251932509,0.024397364609652,0,0,0,0,0,0
ETH,-0.581305444496744,0,0,-0.469720069290788,0,-0.054507072275746,0.301953994264199,0,0,0,0,0,0,0,0.245204809095354
XRP,0,0,0,0,0.0344538574080594,0,0.0447764243526158,0,0.0503441349881192,0,0,0,0,0,0
LTC,0.302441182821528,-0.014776333973091,0,0,0,0.0100282167279805,0,0.00634471624762959,0.00950462792821332,0,0,0,0,0,0
DASH,0,0,0.0807348529963518,0,0,0,0.0288766225010377,0,-0.0988611143894123,0.0542121464502385,0.407611865519261,0,0,0,0.19472972108354
DOGE,0,0,0,0,0,0,0,0,0,0.0417438592147933,0,0,0,0,0.0334625731286476
XMR,0,0.116422189192184,0.338419582966415,0,0.0835269095282156,0,0,0,0.163590929861618,0.174961745379269,0,0.470059545167627,0,0,-0.165666947000485
XEM,0,0,0,0,0,0,0,0,0,0.213516524308842,0,0,0,0,0
XLM,0,0,0,0,0,0,0.0630444126667586,0.15834890943292,0,0.01169281679045,0,0.177513045603241,0,0,0.0966279212427207
DGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.0125336001322634,-0.000000000000000000433680868994202,0,0,0,0,0,0,-0.00595803775826324,0,0,0,0,-0.180168885916371
CVIX.INDEX,0,0,0,0,0.00000484176515939437,0,0,0,0.00000303684507116393,0.00000162244689727883,0,0,0,0,0.192242382003673
DXY.INDEX,0,-0.000000554790961258521,0,0,0,0,0.000000103739002658245,0,0,0.00000224770257975874,0.0653820651168298,0,0,0,0.016895818935312
SPX.INDEX,0,0,0,0,0,0,0,0,-0.00000000000000000000000330872245021211,-0.0000292309411620734,0,0,0,0,-0.048120018350781
VIX.INDEX,0,0.0550043869364627,0,0,0.016507338391533,0,0.0202069533856385,0,0.0918470196057978,0.0197546467029968,0,0.351111910725296,0,0,0
