,BTC,ETH,XRP,LTC,XEM,ETC,DASH,MIOTA,XMR,ZEC,XLM,DOGE,DGB,BAT,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.00885719664564533,0,0,0,0,0.108477828868318,0,0,0,0,0,0.032764862571445,0,0,0,0,0
ETH,0,0,-0.0511821141380921,0,0,0.157540429762082,0,0,0,0.139088325581043,0,0,-0.016633622017866,0,0.0310541252783497,0,0,0,0,0.0365369735558823
XRP,0,0,0,0,0,-0.15055255955915,0,0,0,0,0.43469570208042,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0.0289373789353672,0,0,0,0.303530162870919,0,0.0473658849537476,0,-0.0521617692407209,0,0.18156799343402,0,0,0,0,0
XEM,0.0603770882397468,0,0.258821913417889,0.238527319812542,0,0,0,0,0,0.0801115321598783,0,0.215091041145791,-0.0276549686780631,-0.0103177285274267,0,0,0,0,0,0
ETC,0,0.413402645800582,-0.149594533538316,0,0.101319882704307,0,0,0,0,0,0,0,0.000000000000000000433680868994202,0,0.216392950692564,0,0,0,0,0.075361853531301
DASH,0,0,0,0,0,0,0,0,0.231814770269359,0.157474926154391,0,0,0,0,0.0457942183018447,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.0168643721917468,0.019121844204975,0,0.122999471220959,0,0,0,0.106739199874205,0,0,0,0.0827049297845378,0,0,0,0,0
ZEC,0,0.276916226998084,0.0318085987689976,0,0,0,0,0,0,0,0.0194349153988432,0.0370818139430114,0,0,0.0367459728034804,0,0,0,0,0
XLM,0,0,0.497591859493626,0,0,0,0,0,0.153394911158244,0,0,0,0.0475512906981193,0,0,0,0,0,0,0
DOGE,0,0.00484165033410341,0,0.253775840241895,0.153518761709371,0,0,0,0,0,0.0886488445281755,0,0.0804307168411686,0,0.0495952739960697,0,0,0,0,0
DGB,0,0,0,0,0,0,0,0,0.22784777267345,0,0.343377617195136,0.321875704337448,0,0,0,0,0,0,0,0
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.115872536032145,0,0.392664161725747,0,0,0.101817995273232,0.225529406809068,0.00914154051892684,0,0.0121596666087422,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,-0.000241649132328954,0,0,0.0241038625139825,0,0,0,0,-0.0337270000637167
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,-0.000338248536345171,0,-0.0029530281213269,0,0.00153983067379076,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0.0000342527181152386,0,0,0,0,0,0,-0.0157790226728839
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
