,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,NEO,TRX,XMR,DASH,ETC,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.143875010100104,0,0,0,0,0.0933810266314313,0.00191058944356851,0.0304024690478747,0.0833738998925291,0,0,0.0719711826776948,0,0,0,0,0
ETH,0,0,0,0.280904777080255,0.0000000000000000000542101086242752,0,0,0,0.0761741373485593,0,0.100376344392483,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.108147879799088,0.104346892040905,0,0,0,0.166079726091085,0,0.0821895164858034,0,0,0,0.104312803121153,0,0,0,0,0
BCH,0,0.0782621983613995,0,0,0.34139938390617,0,0,0.166483412712258,0,0,0.0777675668625895,0,0,0.0778936723468073,0,0,0,0,0,0
EOS,0,0,0,0.251838118018132,0,0,0,0.152546513569108,0.103714354863758,0,0.173857993204665,0,0,0,0,0,0,0,0,-0.0376201153484213
LTC,0,0,0,0.356581969027292,0.00678836754570591,0,0,0,0.121298782048679,0,0,0,0,0,0.12156285525125,0,0,0,0,0
XLM,0,0,0,0.0483838775858052,0.112775579619677,0,0,0.0692842230679202,0.143031796413237,0,0.0651674146179347,0,0,0,0.224163874768785,0,0,0,0,0
ADA,0,0,0,0.199428985882691,0.104339686167041,0,0.075877188982787,0,0.064432067137223,0,0.104596215659496,0,0,0,0.0774915892919726,0,0,0,0,0
MIOTA,0,0,0,0,0.135372697287581,0,0.229116463035774,0.130002227271726,0,0.341251233469384,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.109499846958853,0,0,0,0,0.246810260574372,0,0.072455468631228,0,0,0,0.131942807389449,0,0,0,0,0
TRX,0,0,0,0,0.28718818877146,0,0.103081306086523,0.175591130376468,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.0347354385877717,0.202175114461586,0,0,0,0.0574360403542963,0.0443995470150492,0.0277199266261614,0,0,0,0.0513983169822124,0,0,0,0,0
DASH,0,0,0,0.0569650707492121,0,0,0,0,0.0924798081687041,0,0,0.0395817952206138,0,0.0773607586095724,0.282183257213791,0,0,0,0,0
ETC,0,0,0,0.242399838071595,0,0,0,0,0.156333794538099,0,0,0.109410084396066,0,0,0.0634195091614032,0,0,0,0,0
XEM,0,0,0,0.16587753567387,0.132395253840934,0,0.0777857927425256,0,0.0629565889428104,0.18437824319512,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.00812113055245435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0722069267314848
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0469413596783705
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
