,BTC,ETH,LTC,XRP,DASH,DOGE,XEM,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0412147777225385,0.135809337139805,0.0169770811883471,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0.479942933889753,0,0.15681381521438,0,0,0,0,0
LTC,0.404039041097779,-0.0600599529272691,0,0.0387682147112936,0,0,-0.0268999244840132,0,0,0,0,0,0,0,-0.00665536194488262
XRP,0,0,0,0,0,0.0595164276619156,0.101040219862512,0.124788464775184,0.106619959797703,-0.11701109684022,0,0,0,0,0
DASH,0,0,0,0,0,0,0.084312191120031,0.189134294190153,0,0,0,0,0,0,0.112936271537346
DOGE,0.23807343323259,0,0.0907228716509473,0,0,0,-0.0272889161155739,0,0.0510866423983479,0,0.0946004200994302,0,0,0,0.0334988766346122
XEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0.339568875064425,0,0,0,0,0,0,0.0952817012104522,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0.0671973373548044,0.0928248220239913,0,0,0,0.255731486302873,0,0,0
DGB,0,0.269359094301448,-0.0188955475140626,0,0,0,0.208372853149738,-0.00000000000000000693889390390723,0,0,0,0,0,0,-0.0958956692943027
BV010082.INDEX,0,0,0,0,0,0.0219936553079091,0,0,0,0,0,0,0,0,-0.102648305046257
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0878964530523567
VIX.INDEX,0,0,0,0,0,0.00000465333573930554,0,0,0,0,0,0.530301583520899,0,0,0
