,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,DASH,XEM,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0,0,0,0.0558937987926259,0.240774269733558,0.240727180743892,0,0,0,0,0,0,0,0
ETH,0,0,0.0787083101425074,0.0467810922334393,0.100403807251684,0.0152063232112758,0,0,0.122341775293884,0.10958590025429,0.0443559034303725,0.0475084693799715,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0.0078221979177604,0.0461130484721147,0.113943712846451,0.0731022804621303,0.148312705272648,0.0804549225079846,0,0,0,0.0389192306094069,0,0,0,0,0
BCH,0,0,0,0,0.164472147756445,0,0,0,0,0.161615640418774,0,0.0970779478526524,0,0.00511514233639092,0.0544483827783544,0,0,0,0,0
LTC,0,0,0,0.175553311084461,0,0.0306175112314067,0,0,0,0.0909728413313624,0.174797684366919,0,0,0.0139726628623032,0.0881500979845038,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0.0916449441644888,0,0.160584200010215,0,0,0.0806144675515238,0.179502395765486,0,0,0,0,0
ADA,0,0,0.0861503524933253,0,0.0556293192197035,0.0606951822715105,0,0.29316188668922,0.0671989973519298,0,0.00168661753423951,0,0.0628252551610409,0,0,0,0,0,0,0
XLM,0,0,0.0253479676355795,0,0,0,0.23029509818493,0,0.0432112669852081,0.025934550433633,0.139467274061694,0,0.0656111578846836,0,0.0962465766779075,0,0,0,0,0
NEO,0,0,0,0,0.000000000000000000867361737988404,0,0.0851536448154453,0.118411918384124,0,0.416806211925405,0.0148912010422263,0,0,0,0.0705249929851836,0,0,0,0,0
MIOTA,0,0,0.0295679185856128,0,0.109883350011449,0,0.172760813819308,0,0.0827322509708806,0,0.251147150960201,0.126713543171886,0.0152552385566239,0.0433670928325758,0,0,0,0,0,0
XMR,0.183972898116575,0,0,0,0,0,0,0.152408440480449,0.102648918858532,0.0165971097482314,0,0.236339620705622,0,0,0,0,0,0,0,0
DASH,0,0,0,0.0178604084925655,0,0.025023530146438,0,0.0841170614653482,0,0.187332139500399,0.132298506826614,0,0,0.0515121109785316,0,0,0,0,0,0
XEM,0,0.0551855444454027,0,0,0,0,0.0934261658953864,0.267827646343773,0.108403504347829,0.102799474864472,0,0,0,0.06148200536437,0,0,0,0,0,0
TRX,0,0,0,0.3443159790943,0,0,0,0,0,0.205715835329582,0.11832192146279,0,0.0342089650689497,0,0,0,0,0,0,0
ETC,0,0,0,0,0,0.100402740770059,0,0,0.322464701235276,0.146622511485959,0,0,0,0.0308327241776425,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0166212437340328,0,0,0,0,0,-0.0399512170766574
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0952328202128582
VIX.INDEX,0,0,0,0,0,-0.000220674276009106,0,0,0,-0.000022859039632086,0.000152032308748886,0,0.0000364534893707129,0.000105497682981194,0,0,0,0,-2.9952695182605,0
