,BTC,ETH,BCH,XRP,LTC,DASH,XEM,MIOTA,XMR,NEO,ETC,ZEC,BAT,EOS,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0951383704238526,0,0.07392838772125,0.104418824974518,0,0.0284307619121443,0,0,0.056501603029304,0,0.0102376871536315,0,0,0,0,0
ETH,0,0,0,0,0.0652422804059008,0,0.0249007152314851,0.110510993368096,0,0,0,0,0.0203186064813998,0,0.0331356547690275,0,0,0,0,0
BCH,0,0,0,0,0,0,0.507622306932724,0.0271238601562417,0,0,0.145147483938493,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0.147142515591867,0,0,0,0.0381359617538046,0,0,0,0,0,0.232425197200875,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0,0,0.632150936730951,0,0,0,-0.00000000000000000693889390390723,0,0,0,0,0
DASH,0,0,0.0044005163212071,0,0,0,0.053965317418314,0.0459222500975804,0,0,0,0.204123162172574,0.0760422615039061,0,0,0,0,0,0,0
XEM,0,0,0.110317455261677,0,0,0,0,0.112952464528524,0,0.0323767556551237,0,0,0.155928499599819,0,0.143396964299671,0,0,0,0,0
MIOTA,0,0.124688452833601,0,0,0,0,0.212855354232461,0,0,0,0,0.228663145026663,0.221624241203665,0.0394781325006725,0.019100153106703,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0.00123492492215211,0,0,0,0.134186003897831,0,0.00332683957216649,0.232455722680902,0,0,0,0,0
NEO,0,0,0,0,0,0,0.262352812641664,0,0,0,0,0,0.149084775023209,0.396363561973121,0,0,0,0,0,0
ETC,0,0,0,0,0.351975999761121,0,0.0371616732853415,0,0,0,0,0.0555401610631718,0.0275576874230453,0,0.0633677427457453,0,0,0,0,0
ZEC,0,0,0,0,0,0.119100304821718,0.0173471705366865,0,0.135846647596909,0,0.0679548071695701,0,0,0,0.12471181456162,0,0,0,0,0
BAT,0,0.114383716426692,0,0,0.110699753086766,0,0,0.0748719442724663,0,0.245853242843791,0.154998662288415,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0.0750148184181424,0,0.0794724351128491,0.030734313422446,0,0.0505991476518402,0,0,0,0,0.119135256916134,0,0,0,0,0
XLM,0,0.148639971627841,0,0.370220759533008,0,0,0,0.0156705669340851,0.103995974035943,0,0.252853192296247,0.132360942749247,0.0391285192895765,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.043094288693086
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132492433981949
DXY.INDEX,0,0,0,0,0,-0.00722093405831663,0,0,0,0,0,0,-0.00359500256966669,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,-0.00000000407519233961174,0,0,-0.000000277828385492458,0,0,0,0,0,0,0,0,0,0,-0.0397023072093186
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
