,BTC,ETH,XRP,BCH,EOS,XLM,LTC,TRX,BSV,ADA,MIOTA,XMR,BNB,DASH,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.112688775675496,0,0,0,0,0.00411458352867358,0,0,0.0933531298086164,0,0.0903823109008538,0.0441831087583189,0,0,0,0,0
ETH,0,0,0,0.178823166139978,0,0,0,0,0,0,0.0150669294824341,0.0312095904589722,0,0.0784905614215824,0.365160682241431,0,0,0,0,0
XRP,0,0,0,0.0463286513296228,0.0364871104825547,0.126409100437128,0,0,0,0.183023025074209,0.053198422437482,0,0,0,0.0518483261991477,0,0,0,0,0
BCH,0,0,0,0,0.230547025162528,0,0.102209975194908,0.118689599637719,0.0475847551102005,0.157804273244442,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.0287175404990065,0,0,0,0,0,0.307684333091375,0,0,0,0.114498628177663,0.182365108112106,0,0,0,0,0
XLM,0,0,0,0.096050329827685,0.187763124904114,0,0,0,0,0.0432857081377891,0,0.0698198460275357,0,0.0515911801461186,0.222359241073915,0,0,0,0,0
LTC,0,0.0197757370033783,0,0.0694685280318973,0.112597741957893,0,0,0,0,0,0,0,0,0,0.480542722743581,0,0,0,0,0
TRX,0,0,0,0.183902391134844,0,0,0,0,0,0,0,0,0,0,0.295174270316646,0,0,0,0,0
BSV,0,0,0,0.635355619609025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0.121719675771444,0,0.180004025258238,0.0086437835013052,0,0.0406804140664892,0,0,0,0.00654194477096197,0,0,0,0.37894273364968,0,0,0,0,0
MIOTA,0,0,0,0.194792484917458,0.0855928002454406,0,0,0,0.0210762582258713,0,0,0,0,0.247781011412469,0.000000000000000000867361737988404,0,0,0,0,0
XMR,0,0,0,0.0729885983377264,0,0,0,0,0,0,0,0,0,0.235482171181577,0.277543642074135,0,0,0,0,0
BNB,0,0,0,0,0.0461604999964038,0,0,0,0,0,0.0594632701944008,0,0,0,0.482757557655137,0,0,0,0,0
DASH,0,0,0,0.0529236645480218,0.160420231844257,0,0,0,0.00123281293438076,0,0,0.12759284683707,0,0,0.209128144930283,0,0,0,0,0
NEO,0,0.353305077575991,0,0,0.104439502139057,0,0.170618891118125,0,0,0.103500687973223,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,-0.00594479719757253,0,0,0,0,0.00639453388495236,0,0,0,0.00878372914840559,0,0,0,0,0,0,-0.0612079344767201
CVIX.INDEX,0,0,0,0,0,0,0,0,0.00000187962963093711,0,0,0,0,0,0,0,0,0,0,0.0322411275632614
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.118727042431315
VIX.INDEX,0,0,0,-0.00000000000000000000042351647362715,0,0,0,0.0000271547147826036,-0.0000010005351036491,0,0,0,0,-0.0000142373913608866,0,0,0,0,-2.4058709898028,0
