,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,TAGZ5,XTZ,XLM,LINK,ADA,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0109415964873448,0.0423220208054708,0,0,0,0.00163524674503399,0.156697779723636,0,0,0.0578424235318795,0,0,0,0,0,0
INNBCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.16500716034383,0.170199961372461,0,0.00316707028923594,0,0.0169817939292479,0.226090381779461,0,0,0,0,0,0,0,0,0
XRP,0,0.000834070678117413,0,0,0.101130069449002,0.131070948766117,0,0,0,0,0.0934867110707614,0,0,0.0981572799167296,0,0,0,0,0,0.00250096772910979
BCH,0,0,0.219598045180121,0,0,0.237990983953233,0,0,0,0,0.10357770526922,0,0,0.0733440816537644,0,0,0,0,0,0
BSV,0,-0.0010488027646815,0.135524721690783,0,0.405021473722188,0,0,0,0,0,0.0617196618909284,0,0,0,0,0,0,0,0,0
LTC,0,0.00140573032277274,0,0,0.0802433891056545,0,0,0,0,0,0.224929490803526,0,0.0523767616135902,0.0915599276358665,0,0,0,0,0,0
BNB,0,-0.0019281250954275,0.398826844160716,0,0,0,0,0,0,0,0.134250640890627,0,0,0.0438849015000474,0,0,0,0,0,0
EOS,0,-0.000848007558700398,0,0,0.277984284533275,0.0777321977621579,0,0,0,0.0149789633687717,0.133225290857801,0,0,0.0627799527562018,0,0,0,0,0,0
TAGZ5,0,0.00332345858728639,0,0,0.206549172559746,0,0,0,0,0,0.122458742943228,0,0,0,0,0,0,0,0,0
XTZ,0,0.00356342538394438,0.280729663028794,0,0,0,0,0,0,0.0241895497684051,0,0,0.472227589465943,0,0,0,0,0,0,0
XLM,0,0.00232620008098316,0,0,0,0.176705187285171,0,0,0,0,0.130005608678716,0,0,0.253835974431063,0.0712660707710309,0,0,0,0,0
LINK,0,0.0010018280396927,0,0,0,0,0,0,0,0,0.593143815375282,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0,0.159467634899785,0,0,0.0949049946624363,0,0,0.349011041057282,0,0.0688856971506712,0,0,0,0,0,0,0
TRX,0,0.00145332994628358,0,0,0,0,0,0,0,0.00418765592841029,0.236444558274785,0,0,0.268565472183613,0,0,0,0,0,0
BV010082.INDEX,0,-0.00176457400224451,0,0,0,-0.0121796603093957,0,0,0,0,0,0,0,-0.00579447827200595,0,0,-0.0965511547585806,0,0,0
CVIX.INDEX,0,-0.00000879223843776291,0,0,0,0,0,-0.0000138711216192567,0,0,0,0,0,0,0,0,0,0,-0.376504132026374,0
DXY.INDEX,0,0.0000000486786280045429,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029678559733214,0,0,0,-0.0158100234590122
SPX.INDEX,0,0.000000145672089633748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0286025411356616,0,0,-0.2690064896984
VIX.INDEX,0,0.0208511473857891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.710449861832595,0
