,BTC,XRP,LTC,ETH,DASH,DOGE,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.192334598552219,0.0342393871692725,0,0,0,0.0630178863030181,0,0,0,0,0,0,0
XRP,0,0,0.0837690991220295,-0.0423608385422532,0,0.107300715217601,0.107455162639684,0,0,0,0,0,0,0,-0.0292524501945746
LTC,0.351745910310368,0,0,0,0,0.214780487936541,0,0.0818684470422534,0.0512685317204189,0.0187433692425024,0,0,0,0,0.00676876688057763
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0.0541995428484296,0.0286268714476285,0,0.142237999837974,0.0864377624251557,0,0,0,0,0,0,0,-0.0173900046327367
DOGE,0,0.0389604696231676,0.333926816393353,0.0126220625626521,0.17352289829771,0,0.0507878432901743,0.0386418088948645,0,0,0,0,0,0,0
XLM,0.270159968237324,0.0450954713047527,0,-0.0276650155803804,0,0.219435049418209,0,0,-0.0287313895860425,0.080576075724395,0,0,0,0,-0.0323638241994205
XMR,1.05287940978552,0,0,0.0145255404315105,0,0,0,0,0,0,0,0,0,0,0.0524969677182157
XEM,0.828912621910016,0.114094157916538,0.196722493840661,0.017268138441842,-0.269498572680003,-0.226084516620931,0,0,0,0.0856183632133852,0,0,0,0,-0.0362185293532676
DGB,0,0,0.449412313473568,0.0316945989013832,0,0,0,0,0.0348940878992034,0,0,0,0,0,-0.0856080117681085
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0229804351134731
CVIX.INDEX,0,0,0,0.000000347764431267141,0,0,0,0,0,0,0,0,0,0,0.0331105320965057
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0173457910319024
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0811067134576558
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
