,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,ETC,MIOTA,TRX,DASH,NEO,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.195173042700726,0,0,0,0,0.167571520776571,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.208926542013421,0.113538979033329,0,0,0.0273784058029837,0,0.0669673806512877,0.0277651546201928,0.0753484061598851,0,0.0196550314911542,0,0,0,0,0,0
XRP,0,0,0,0,0.163777320678117,0,0,0,0,0,0.255916727641337,0.0244472323207887,0,0.029412393249825,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0.178505617321789,0.117405554113284,0,0.0793651160473488,0.164725691115728,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.0062563417913899,0,0.0431556641407982,0,0.165112434834776,0,0.272275009646897,0,0,0,0,0,-0.0216484039525398
XLM,0,0,0,0,0,0,0,0.604262818865176,0.06822389601778,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.471762977557554,0.0486348698405291,0,0,0,0,0.0374490446244347,0.0501671741171126,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0.0332262857247541,0.146107529604276,0.133748141056835,0,0,0.0310529821530778,0,0,0.23636483297533,0,0.0731295972829624,0,0,0,0,0,0
XMR,0,0,0,0.669986683455594,0,0,0,0,0,0,0.0635285001540437,0,0,0,0,0,0,0,0,0
ETC,0,0,0,0,0.0116543676753241,0,0,0,0.255681636179309,0,0.204799897216032,0,0,0,0,0,0,0,0,-0.0423409879759423
MIOTA,0,0,0,0,0,0,0,0,0.0203095012188315,0.0549367661748517,0,0.0185353491815671,0,0.59929454427315,0,0,0,0,0,0
TRX,0,0,0,0.292045929599358,0.10644040670904,0,0,0.0584952288505193,0,0,0.154798506123081,0,0,0.0549436922302758,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0.0127064752772784,0.152920730732232,0,0.140600155727229,0.109371897434414,0,0.128071403966329,0,0,0,0,0,0
NEO,0,0,0,0,0.131031360148618,0,0,0.0739467420602792,0,0,0.458290851330907,0.106595282677964,0,0,0,0,0,0,0,0
BNB,0,0,0,0.0716665677150718,0.142864737375568,0,0,0.1382900190628,0,0.0635860542546748,0.112635483809537,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0571240137900423
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00000092347534975943,0,0.0322968827086805,0,0,-0.00671366456935667
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0471219325818093
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
