,BTC,ETH,BCH,XRP,LTC,DASH,NEO,XEM,XMR,ETC,MIOTA,ADA,ZEC,XLM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0141989309753004,0,0.398354251576074,0,0.0354438357167786,0.0274568219377996,0,0,0,0,0,0.00873878230779187,0.031077509103953,0,0,0,0,0
ETH,0,0,0,0.0339821429704623,0.0862757633484682,0,0.036934221270448,0.0599014880696524,0,0.140554846352023,0.061055413718778,0,0,0,0.0507551259960301,0,0,0,0,0
BCH,0,0,0,0,0.027787857165108,0,0.150265826810448,0,0,0.282797789664858,0,0,0,0.00725433791423534,0,0,0,0,0,0
XRP,0,0.0934765873645077,0,0,0.0593847473493043,0,0.0230716156215666,0.09696241587114,0,0,0.0744809374481835,0,0,0.0412453198172971,0,0,0,0,0,0
LTC,0.078413604659393,0.167786108590112,0,0.072490291712851,0,0,0.0747394730919703,0.00887341825986668,0,0.204752684572311,0.00185952083669189,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0.03221321841236,0.0908067104663767,0.0170967457366187,0,0.103758186002168,0,0.0263530650994186,0,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0.149240934637495,0,0,0,0,0.249645043466189,0.167566559132455,0,0,0,0,0,0
XEM,0,0.132350540096939,0,0,0,0,0.0349541078892018,0,0.140845071535677,0.0637673633747041,0.109717238273473,0,0,0.0536810476058615,0,0,0,0,0,0
XMR,0,0,0,0,0.0400985535788506,0,0.0413296462987466,0.0527660000050485,0,0.177093629974492,0.0424587235898168,0,0.0599317251422968,0.0127573427011389,0.0113629025484499,0,0,0,0,0
ETC,0,0,0.0239476188713304,0,0.320151108701903,0,0,0.0154296835330843,0,0,0.0951980460818704,0,0.043727415424118,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0.0796573019842276,0.110174097461394,0.106083204563206,0,0.256725355386607,0,0,0,0.0383238393088679,0.0585838372280439,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0.182660503014557,0,0,0,0,0.0649292616313625,0.236530643302445,0,0.114206332554399,0.0337176674075037,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0.154430301923695,0.21267897467601,0,0,0.338399702563369,-0.0205074848300252,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0.11936816426891,0,0.123482206172953,0,0,0,0.10605145694257,0,0.350412413756186,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.0128517267629781,0.0203507818719822,0,0,0,0.00161855419412603,-0.00247704368407808,0,-0.0296397702575403,0,-0.00545461209371585,0.0232057754068342,0,0.0140467408345685,0,0,0,0,-0.0555426938781801
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,-0.00103391978426672,0,0,0,0,0,0,0,0,0,-0.0257569442557812
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
