,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,MIOTA,XMR,DASH,XEM,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0441033022105028,0.0785526238642268,0,0,0.0360794532218541,0,0.0960844708374653,0.05275924855495,0.25309821743493,0,0.0667974861162091,0.0158090471597699,0.021627758679924,0,0,0,0,0
ETH,0,0,0.0554478057760586,0.0341082359584951,0,0,0.118105197037714,0.0146718702442306,0.105868806624563,0.0201067624065592,0.0301768751101274,0.018622332855643,0,0.0453528459458403,0.0518488528576489,0,0,0,0,0
XRP,0,0,0,0,0.058069801329879,0,0,0.0796251264892544,0,0,0,0,0,0.324257669723541,0.216709200603903,0,0,0,0,0
BCH,0,0,0,0,0.165773389976635,0,0,0,0.118818671064992,0.105721226524991,0.0415545555155831,0,0,0,0.0743057716030931,0,0,0,0,0
LTC,0,0,0,0.0641430866750993,0,0.0270330798209856,0,0,0,0,0.149770395731353,0,0,0.157751547353368,0.0967305535007944,0,0,0,0,0
ADA,0,0,0.163452274744561,0,0.035157114835063,0,0,0.21690050177089,0.137972731441669,0,0.0544337495254708,0,0.0893437497722804,0,0,0,0,0,0,0
NEO,0,0,0,0.0676278787836772,0,0,0,0.0467530036585314,0,0.176478218419125,0.161604249849296,0,0,0,0.103560425696057,0,0,0,0,0
XLM,0,0,0.261729732321474,0,0,0,0.0210912853023295,0,0.143468908331965,0,-0.00000000000000000010842021724855,0,0,0.11982366437414,0.0124356300436431,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.0500744539820968,0,0,0.164909063685924,0,0,0.141399262354064,0.238367958834633,0,0,0,0,0
MIOTA,0,0,0,0.154039527260906,0,0,0.0770761312960021,0,0.0340399318813752,0,0.180018504026486,0,0,0.182224492399823,0.0357407026584925,0,0,0,0,0
XMR,0.0321289590510102,0,0,0,0.192969322125273,0,0.140347246675551,0,0,0,0,0.421397170991235,0,0,0,0,0,0,0,0
DASH,0,0,0.0831464205361224,0.17985305014804,0,0,0,0.08195668441342,0,0,0.156826257017261,0,0,0.108602011915612,0,0,0,0,0,0
XEM,0,0,0,0,0,0.147313553754332,0.127795043467734,0,0.107579733694624,0,0,0,0,0.268277715976901,0,0,0,0,0,0
TRX,0,0,0.367545807488541,0,0,0,0,0.032552809638313,0.0721592779621219,0.207939144279652,0.0819712079616494,0,0.0740484703185333,0,0,0,0,0,0,0
ETC,0,0,0.161521425297126,0.0744198740831903,0,0,0.152701295061644,0,0.230715407599345,0,0,0,0.0296278308294151,0.0875696285945626,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.0146916489514637,0,0,-0.00847153831501391,0,0,0,0,0,0,0.000437311120126208,0,0,0,0,0,-0.0452723327396405
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166612779251272
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00522856308819407
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544652584022437
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
