,BTC,ETH,BCH,XRP,LTC,DASH,NEO,XEM,XMR,MIOTA,ETC,ADA,ZEC,EOS,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.337986702136574,0,0.0087643194959407,0,0,0,0,0,0,0.0203369629331388,0.0145015185567432,0,0,0,0,0
ETH,0,0,0,0.0463742290178227,0.169271205975688,0,0.0280025959162028,0,0,0.103232006164307,0,0,0.062054503972602,0,0.00514745827236762,0,0,0,0,0
BCH,0,0,0,0,0.0495081404915726,0,0.143266267161074,0.120782431942177,0,0,0.211889447479919,0,0,0,0.000000000000000000867361737988404,0,0,0,0,0
XRP,0,0.0547523532800847,0,0,0,0,0.0553637806102952,0.121641893641797,0,0.110289000365645,0,0,0,0,0.0361584219288646,0,0,0,0,0
LTC,0,0,0,0,0,0,0.0762092319045715,0.03161642085858,0,0,0.675818463438735,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0.0157384661999965,0.195779277562925,0,0.0464913156298783,0,0,0.0287538524704322,0.0152645824918115,0,0,0,0,0,0
NEO,0,0.316316496561439,0.0413628840113923,0,0,0,0,0,0,0,0,0,0.162327016741242,0,0.141195598598323,0,0,0,0,0
XEM,0,0.205594454436186,0,0,0.015033870706025,0,0.0339605046731754,0,0,0.193563530628166,0,0,0.00189348129655743,0,0.0127235670027816,0,0,0,0,0
XMR,0,0,0,0.0121544049976575,0.0952781873902327,0,0.0480563111028812,0.169861984530331,0,0.0385323159436307,0,0,0,0.0326911348703308,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0.202731589399057,0,0,0,0,0.173167143326152,0.137314866245735,0.0440364876324107,0,0,0,0,0
ETC,0,0,0.0533198721676878,0,0.37885835456029,0,0,0,0,0.111459323843776,0,0,0.0266440154848495,0,0.00189391138333764,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0,0,0,0,0,0.085557690690887,0.256582936123275,0,0.0780343329657136,0.203551200309576,0,0,0,-0.000000000000000000433680868994202,0,0,0,0,0
EOS,0,0,0.0395412838520178,0,0.0751554639122894,0,0.137184821163092,0,0,0.0671863249297272,0,0,0.256640785391365,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0.156910183937291,0.0856290313957793,0,0.324344469479501,0.218417743656514,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.0205403209566379,0,0.00713392176749925,0,0,0,0,-0.00677182117272622,0,0.0145744275268654,0,0,0,0,0,-0.0845988606440177
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,-0.0000015735362063072,0,0,0,0,0,0,-0.0355114549262449
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
