,BTC,ETH,XRP,LTC,ETC,XEM,DASH,MIOTA,XMR,ZEC,NEO,XLM,DOGE,DGB,BAT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.00612280663320147,0,0,0,0,0.116017627635275,0,0.00802476826381426,0,0,0,0,0,0,0,0,0
ETH,0,0,-0.0345327447189489,0,0.0732641885089477,0,0,0,0,0.137320534934543,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,-0.168137149727284,0,0,0,0,0,0,0.424184502514697,0,0,0,0,0,0,0,0
LTC,0,-0.137001374295506,0,0,0.0950062231077707,0.0354236621601842,0,0,0.40063083463594,0,0.146271362962932,0.00558880673456355,0.0708308317605965,-0.0512810765025389,0,0,0,0,0,0
ETC,0,0.491634832564797,-0.128740655381491,0.0238030665660344,0,0.111062468928046,0,0,0,0,0.167947448411293,0,0,0,0,0,0,0,0,0.0622395569857404
XEM,0,0,0.0898099346670801,0.177894678715923,0,0,0,0,0.0486532396885519,0,0,0.0613604255503514,0.19919275164139,0,0,0,0,0,0,0
DASH,0,0,0,0,0.060866610049847,0,0,0,0.211691548252549,0.0122424832145879,0.0493234281787107,0.00850854948528112,0.000000000000000000867361737988404,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.089153391518905,0,0,0.311996709374483,0,0,0,0,0.126795770633911,0,0,0.018475226117133,0,0,0,0,0
ZEC,0,0.263751737418454,0.0298038985009217,0,0,0,0,0,0.0219719298685713,0,0.0449047108690017,0.00943624081174935,0.0581570275728985,0,0,0,0,0,0,0
NEO,0,0,0.126715052727428,0.105508023114998,0.652738726571577,0,0.0864650136054596,0,0,0.0705176505482097,0,0.0185114282127997,0,0,0,0,0,0,0,-0.176544773545452
XLM,0,0,0.497591859493626,0,0,0,0,0,0.153394911158244,0,0,0,0,0.0475512906981193,0,0,0,0,0,0
DOGE,0,0,0,0.246581143065085,0.0508868254020243,0.185240274191079,0,0,0,0,0.00656007911701775,0.0713798718090553,0,0.0868037159404331,0,0,0,0,0,0
DGB,0,0,0,0,0,0,0,0,0.215444530498805,0,0,0.394300224824428,0.235763091135726,0,0.0474122025518761,0,0,0,0,0
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0.0247445006484324,0,0,0,-0.00937953035141814,0,0,0,0,-0.0590921640657323
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0.00173270995775235,0,0,0,0,0,0,0,0,0.000210089948488656,-0.00010726199463844,0,-0.00277206251470072,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000169700082472747,0,0,0,0,0,-0.0148426741908573
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
