,BTC,ETH,XRP,LTC,XEM,DASH,DOGE,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.378729645133288,0.0406440921781592,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0,0,0.130527939925034,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.680457648312444,-0.0116160423384294,0.0248749542024325,0,0,0,0,0,0,0,0,0,0,0,-0.0255960275498127
XEM,0.385584119942722,0,0,0,0,0,0,0,0.628180743219584,0.0270956642341262,0,0,0,0,0
DASH,0,0.0643888707870636,0,0.0561865217914383,0,0,0,0,0,0.0491314114061405,0,0,0,0,0
DOGE,0.367587408986457,0.0381368501912599,0.21798909140903,-0.00000000000000000346944695195361,0.0174670831271192,0,0,0,0.0879001538292747,0.0528083740309168,0,0,0,0,0.0296388673748668
XMR,0.327082200965141,0,0,0,-0.0437232611683419,0.10993707597735,0.232305724813298,0,0,0,0,0,0,0,-0.0670756992093927
XLM,0.130727478255711,0,0,-0.00000000000000000693889390390723,0.095269822201515,0,0.0953807811586575,0.0335784336098794,0,0,0,0,0,0,0.00326422752488155
DGB,-0.119858451448517,0.141057217933531,-0.179155426456344,0,0.132306990152155,0.290901095748205,0.148276925278154,0,-0.113865140329015,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.0000000000000000056920614055489,0,0,0,0,0,0,0,0,0,-0.0753867863417872
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117926865122338
DXY.INDEX,0,0,0,0,0.0000000990197259597065,0,0,0,0,0,0,0.0381046867497464,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0648322039847914
VIX.INDEX,0,0,0,0,0.00000242695710616059,0,0,0,0,0,0,0.626459025279938,0,0,0
