,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,XMR,MIOTA,DASH,TRX,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.0445537367792807,0,0,0.0535087526939721,0.172126310502438,0.0154406629895099,0.207731298061619,0.10604788513764,0,0,0,0,0,0,0
ETH,0,0,0.0114561170641538,0.15463029678536,0.0738069050529653,0.0823712872589013,0.00305433949130058,0,0,0.0675410849869173,0,0,0.00632968253867796,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0.00454977641481715,0.088802589250842,0.133498559637402,0,0.155349274412066,0,0,0.0350106416342928,0.0268383281961076,0.143262726069042,0,0,0,0,0
BCH,0,0,0,0,0.0648833199120296,0.00270165212627921,0,0,0,0.0980197272550884,0.15306388024023,0,0.0109638730777848,0,0.0686191281034253,0,0,0,0,0
LTC,0,0,0,0.152428596363064,0,0,0.0139046632116536,0,0,0.189053848730346,0,0,0.0861537495084651,0.00881195467309839,0.133764031416897,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0,0.21426734221362,0,0,0.0764462896813894,0.0252703017506736,0.24351218126,0,0,0,0,0
ADA,0,0,0.168266904516835,0,0,0.137081441898408,0,0.225799077548965,0,0.0672179885886877,0,0,0.0301467617700481,0.100674365741753,0,0,0,0,0,0
XLM,0,0,0.183354592018721,0,0,0,0.212078705927088,0,0,0.114789556892833,0,0,0.044906045735894,0.0671942007413649,0.064265627264207,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0.014823222350636,0,0.294112134782707,0.211633068568374,0,0,0,0.148746541708856,0,0,0,0,0
XMR,0,0,0,0,0.156969707686897,0,0,0.052448428477877,0.226001312282683,0,0,0.345899477123732,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0.234970825699397,0,0,0,0.157468341170716,0.188370914048335,0,0,0.121560627470986,0,0,0,0,0,0,0
DASH,0,0,0,0.0387183812948055,0,0.0206932575501654,0.0106902899530329,0.0723598915313346,0,0.241527479360812,0.155414084107672,0,0.0827672741123117,0,0,0,0,0,0,0
TRX,0,0,0,0.222430567128733,0,0.0696423652729039,0,0,0.144040788330122,0.109131461687916,0.152326855071941,0,0,0.112490248309375,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0.104789559027743,0.251354431732525,0.0211232953870954,0,0,0,0.254498746318295,0,0,0,0,0,0,0
ETC,0,0,0,0,0.0124417326140544,0.295486722757586,0,0.084239465179841,0.115496648294431,0,0,0,0.0665474354911571,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,-0.0312584674224225,0,0,0,0,0,0.000000000000000000216840434497101,0,0,0,0,0,0,-0.00693656552782532
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0.000000739029880640162,0,0,0,0,0,0,0,0,0.0369865966532775
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00342984380429718
SPX.INDEX,0,0,0,0,0,0,0,0,0.000000923357471504044,0,0,0,-0.000000986587921764657,0,0,0,0,0,0,-0.0771255852036364
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
