,BTC,ETH,XRP,BCH,ADA,LTC,XEM,NEO,XLM,MIOTA,EOS,DASH,XMR,TRX,BTG,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0,0,0,0.0410016330119311,0,0,0,0.0240665698055067,0,0,0,0,0,0
ETH,0,0,0,0.087405035058543,0,0.166982328203597,0,0.0273429555208138,0.0290093734052146,0,0.00882538882866542,0,0,0.033674773632542,0.0349531487210493,0,0,0,0,0
XRP,0,0,0,0,0.172070717882292,0,0.106347092534548,0,0,0,0,0,0,0.0408044935915779,0,0,0,0,0,0
BCH,0,0,0,0,0,0.10026489671048,0.0348569843223383,0.130115302496078,0,0,0.093750804183523,0.136998381701046,0,0,0.16974061680424,0,0,0,0,0
ADA,0,0,0.198694612314832,0,0,0,0.0575789529025991,0,0.455499584761134,0.0451625731480278,0,0,0,0,0,0,0,0,0,0
LTC,0.189337345833098,0.0305122253394611,0,0,0,0,0.245954471843297,0,0,0.050450549496833,0.0480910185047588,0.134278149269276,0,0,0,0,0,0,0,0
XEM,0,0,0.125491291158438,0,0.0176708116071869,0.041364164284514,0,0,0.28801860819878,0,0,0,0,0,0.0775223315231469,0,0,0,0,0
NEO,0,0.0871464154428999,0.0762557705421386,0.112770575022867,0,0,0.00440294598601063,0,0.174869111296693,0,0,0,0.0866568615456274,0,0,0,0,0,0,0
XLM,0,0,0.0602053713243416,0,0.318751453087265,0,0,0,0,0.122797081875808,0.144179375726112,0,0.0413210453974152,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0.147950101128976,0.155422762088868,0.13427351902592,0,0.0391950277270669,0,0.0445427718862935,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.0928182269656458,0,0.226625297348807,0,0,0.21429892395542,0.049257315608403,0,0,0,0.0409002214484274,0.061987337010023,0,0,0,0,0
DASH,0,0,0,0.0701868104102742,0.00628475342559679,0.136814824578108,0.00101735414004002,0.0389925270266367,0,0,0,0,0.0105704301037224,0.0831377174965088,0.0862336875507019,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0.07474419786336,0.144519797794558,0.0507511151170334,0.0388148207428481,0.254738190867574,0,0,0.0392275216460697,0,0,0,0,0
TRX,0,0,0,0.162762453250805,0.130070713379771,0.058098981394439,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTG,0,0,0,0.475905380867533,0,0,0.00240153136357648,0,0,0,0,0.0258395716865442,0.0799916125657625,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0.00544575941710158,0,0,0.00281958341077415,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00276291238637622,0,0,0,0,0,0,0,0,0,0,0.00223821898166554,0,0,0,0,0,0
SPX.INDEX,-0.00000000969676147733914,0,0,0,0,0,0,0.00000000257435040748325,0,-0.0000000153118158306659,0.0000000249157465160664,0,0,0,0,0,0,0,0,-0.015973266380556
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
