,BTC,XRP,ETH,BCH,ADA,LTC,MIOTA,XEM,XLM,DASH,XMR,NEO,EOS,TRX,BTG,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0137344974034845,0,-0.0451834471418834,0,0.0178119299412016,0.0344909190210859,0,0.05749528343649,0,0,0,0,0.117859895919431,0,0,0,0,0,0
XRP,0,0,0,0,0.0750555109387733,0.0147671643801079,0,0.107091274136319,0.090938923231187,0,0,0,0.0156074017774753,0,0,0,0,0,0,0
ETH,0,0,0,0.0111147105251663,0,0.180554861157341,0,0,0,0,0,0.0542994857568152,0.058227297605169,0.0735893092315266,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0.0707516974999587,0,0.319503987049157,0,0.0243321364299307,0.125441038451274,0,0.226163334836178,0,0,0,0,0
ADA,0,0.211967290308107,0,0,0,0,0.095043990618123,0.0445770596658136,0.429386157325167,0,0,0,0,0,0,0,0,0,0,0
LTC,0.105063923269341,0,0.316383767969435,0,0.000000000000000000867361737988404,0,0.0659704858404316,0.22416035858673,0.0293985373922095,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0,-0.014060965391868,0,0,0.0303206648828709,0.129071075152575,0,0.154232860228304,0.221194950556141,0,0.216414721482508,0,0,0,0,0,0,0,0,0
XEM,0,0.108620510128513,0,0,0.0895850768754304,0.0497850587431032,0.0190797457823897,0,0.17386324960784,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0.0177968420820916,0,0,0.302663909487362,0,0.0826092469812235,0,0,0,0.0988937052159317,0,0.0723980036093887,0,0,0,0,0,0,0
DASH,0,0,0,0.0980767277850014,0.0592549868958194,0.0498572424939089,0,0.0169062366709949,0,0,0.086775191027258,-0.00000000000000000010842021724855,0,0.0505781899847634,0.00485244462098041,0,0,0,0,0
XMR,0,0,0,0,0.01051218290375,0,0.0843813643852526,0,0.135946437662912,0.179599499312221,0,0.0724579836011503,0.0178435679863066,0.00545670816254449,0.0331633932688518,0,0,0,0,0
NEO,0,0.11261430586107,0,0.0116857367414887,0,0,0,0.0178628029986513,0.0875606098361838,0,0.0151663128474767,0,0.0571862927240547,0.0587612986645754,0,0,0,0,0,0
EOS,0,0,0,0.148960235988521,0,0.239622342838498,0.195510053316704,0,0.086230995477747,0,0,0.159997590827683,0,0.0860642750866621,0.0170420598943663,0,0,0,0,0
TRX,0.44408261616497,0,0.249296850137287,0,0.116678676261415,0.171519871805581,0,0,0,0,0,0,0.00759601872362701,0,0,0,0,0,0,0
BTG,0,0.0335488507853552,0,0.5752062016399,0.0300463952845479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0.00853474537496367,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,-0.00301510043124784,0,-0.00075093367918656,0,0,0,0,0,0,0,0,0,0.00277435624673863,-0.00028355642508433,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
