,BTC,ETH,BCH,XRP,LTC,XEM,DASH,XMR,MIOTA,ETC,NEO,ZEC,XLM,EOS,BAT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0,0,0.136118159867167,0,0,0,0,0.0452565150281497,0.0510144346414457,0,0,0,0,0
ETH,0,0,0,0,0,0.0121332740241405,0,0,0.192580251517041,0,0,0,0,0.0241114409945253,0.11498372027196,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0.22627925403117,0,0,0,0,0,0,0,0,0,0,0.0574160252276225,0.0803787916855455,0,0,0,0,0,0
LTC,0,0.0831266985172153,0,0,0,0,0,0,0.0131934869956036,0.289553024906878,0,0.0394405343159437,0.00650189094182556,0,0.00437789612811128,0,0,0,0,0
XEM,0,0,0.0853822594407797,0,0,0,0,0,0.151554168830816,0,0,0,0.100638280360467,0,0.150210950680797,0,0,0,0,0
DASH,0,0,0,0,0,0.0366323938892541,0,0,0.100575072713832,0,0,0.134097361978285,0,0.0518528946187169,0.0653751569526442,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0,0.0313433958824976,0,0,0.0933035966858868,0.235324982258913,0.07718471172542,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0.144269701318519,0,0,0,0.129127713765954,0.457514911320319,0,0,0,0,0,0,0,0
ETC,0,0.305002020247014,0,0,0.0629420646450346,0,0,0.019473075904728,0,0,0,0.00000000000000000173472347597681,0.0499150867339658,0.0331987963338546,0.00904731533477813,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0.0766567207773306,0,0,0,0,0.540835489583255,0,0,0,0,0,0
ZEC,0,0,0,0,0,0,0,0,0.183920789266628,0,0,0,0.0575823015684251,0.0994616229215792,0,0,0,0,0,0
XLM,0,0,0,0.238840027232424,0,0.192105764679833,0,0.278057777723752,0,0.0375389039800234,0,0,0,0,0.117155393426447,0,0,0,0,0
EOS,0,0,0,0,0,0.00381870484573537,0,0,0.061577899206271,0,0.0391192228043783,0.0167670314674619,0.112968070991655,0,0.138088980416448,0,0,0,0,0
BAT,0,0.271874597443015,0,0,0,0.233255666289889,0,0,0,0,0.175476899764828,0,0,0.140484270636827,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.00447599119889479,0,0.00574910358165316,0,0,0,0,0,0,0.0236644706840222,-0.0247407296357232,0,0.0125799238307362,0,0,0,0,-0.0329665285116217
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,-0.000000127973078397408,-0.000000215737734181603,0,0.000000311095625507319,0,0,0,0,0,0,0,0,-0.0397021828286346
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
