,BTC,ETH,XRP,LTC,EOS,BCH,BNB,XLM,ADA,TRX,BSV,XMR,MIOTA,DASH,MKR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0878552887454908,0.0332283346125346,0.0532238685988817,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.201354315467537,0.13071427555851,0.125652054389484,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0.0682935430549715,0,0.113375677173699,0.0990035676184075,0.0596870234671948,0,0.0578147332951391,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0.232965038326447,0.240001318842998,0.0731152417917599,0,0.0641653842442853,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0.118517394161015,0,0.398069498656688,0,0.055002577046143,0.0219729486120141,0,0,0,0,0,0,0,0,0,0,0,0,0
BCH,0,0.0635894622688065,0,0.143304291366679,0.110131101825656,0,0,0.0254585788279704,0.265250657361771,0,0.0636760332281733,0,0,0,0,0,0,0,0,0
BNB,0,0,-0.06027625318029,0.57597232990565,0,0,0,0,0,0,0,0,-0.406216852438329,0.286083196026598,0.0935246165190614,0,0,0,0,-0.124312530003132
XLM,0,0,0,0.122074887181008,0.0392764308687287,0.128884157030777,0,0,0.115596033696793,0,0,0,0.0908738403955074,0,0,0,0,0,0,0
ADA,0,0.0669564579045314,0,0.179531302072828,0.0628160752605494,0.336919951871122,0,0,0,0,0,0,0.0478285257552978,0,-0.00000000000000000010842021724855,0,0,0,0,0
TRX,0,0,0,0,0.0431680612105834,0.195993049739883,0,0,0.102613612930846,0,0.0782581493639205,0,0,0,0,0,0,0,0,0.0186554375283072
BSV,0,0,0,0.118599655910447,0.110944576103023,0.156642354499649,0,0,0.0679909305375049,0,0,0,0,0,0.0464273723624751,0,0,0,0,0
XMR,0,0.145249450471413,0,0.0847133918251024,0.241288080639999,-0.00000000000000000346944695195361,0.0288853959771615,0.0479787021809612,0,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0.0878268071111901,0.205925794079682,0.0698504604238385,0,0.0344315716840817,0.149441765729289,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,-0.00000000000000000693889390390723,0.340420449918967,0,0.0226993013989282,0.00560996660475827,0.0952137357547147,0,0.029485112748758,0,0,0,0,0,0,0,0,0
MKR,0,0.0163911842023418,0,0,0.347062564744625,0,0,0,0.0186309980327273,0,0.343425212968455,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,-0.000000000000000000216840434497101,0,0,0,0,0,0,0,0,0,0,0.0000000000000000340439482160448,0,0,0,0,-0.0335947295575482
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0915414518232245
VIX.INDEX,0,0,0,0.0000250587068162244,0,0,0,-0.0000105555364119206,0.0000141977142709279,0,0,0,0,0,-0.00000955780548220931,0,0,0,-1.88426961644248,0
